baseline_seg,interf_seg,n_lost,n_gained,lost_svids,gained_svids,lost_durations,min_loss_sec
无干扰 #1,409MHz 干扰,14,0,"BDS19,BDS2,GAL12,GAL28,GAL36,GLO44,GLO45,GLO58,GLO59,GLO60,GPS29,GPS30,GPS6,QZS199",,"10.0,10.0,10.0,5.3,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0",3.0
无干扰 #2,392MHz 干扰,33,0,"BDS1,BDS14,BDS19,BDS2,BDS21,BDS22,BDS3,BDS34,BDS35,BDS6,BDS8,BDS9,GAL10,GAL12,GAL18,GAL28,GAL4,GAL6,GAL9,GLO44,GLO45,GLO58,GLO59,GLO60,GPS11,GPS15,GPS20,GPS29,GPS30,GPS5,GPS6,QZS195,QZS199",,"4.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.2,8.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0",3.0
无干扰 #3,4G/5G 干扰,0,0,,,,3.0
无干扰 #4,Wi-Fi 干扰,0,1,,GAL36,,3.0
