sys,n,fisher_z_avg_r,r_median,r_mean,n_strong,n_moderate,n_weak
BDS,12,0.34165987754422295,0.29694077114252826,0.3239294496679952,1,2,9
GAL,7,0.36407388062679275,0.36380690880971683,0.35884383799721725,0,2,5
GLO,5,0.23278249186940841,0.17558696696276527,0.2266126565139678,0,1,4
GPS,7,0.24992670732917766,0.05465380350951644,0.2289630888353538,0,2,5
QZS,3,0.20398469822963,0.14151278860148458,0.19501102553069707,0,1,2
