segment,band,n,std_psr_median,std_psr_mean,std_adr_median,cno_median,locktime_median
无干扰 #1,B1,650,0.253,0.2544984615384616,0.001953125,44.0,266.6875
无干扰 #1,B2I,50,0.253,0.25300000000000006,0.001953125,37.0,264.59375
无干扰 #1,B2a,150,0.253,0.25300000000000006,0.001953125,40.0,64.78125
无干扰 #1,B3,539,0.253,0.2539424860853433,0.001953125,40.0,225.875
无干扰 #1,E1,360,0.169,0.1865277777777778,0.001953125,48.0,267.5
无干扰 #1,E5a,370,0.253,0.25986486486486493,0.001953125,40.0,263.375
无干扰 #1,E5b,381,0.169,0.18685826771653546,0.001953125,48.0,266.0
无干扰 #1,L1,700,0.253,0.25316857142857147,0.001953125,45.0,256.546875
无干扰 #1,L2,650,0.253,0.26861538461538464,0.001953125,44.0,250.1875
无干扰 #1,L5,250,0.253,0.25300000000000006,0.001953125,42.0,265.5
409MHz 干扰,B1,555,0.253,0.3069783783783784,0.001953125,33.0,0.875
409MHz 干扰,B2I,25,0.253,0.253,0.001953125,35.0,2.375
409MHz 干扰,E1,250,0.38,0.37339599999999995,0.00390625,28.0,0.0
409MHz 干扰,L1,242,0.38,0.38392561983471074,0.00390625,25.0,0.09375
无干扰 #2,B1,645,0.253,0.256724031007752,0.001953125,44.0,22.6875
无干扰 #2,B2I,50,0.253,0.25300000000000006,0.001953125,35.0,20.1875
无干扰 #2,B2a,175,0.253,0.2602571428571429,0.001953125,40.0,16.78125
无干扰 #2,B3,571,0.253,0.2656777583187391,0.001953125,39.0,18.09375
无干扰 #2,E1,350,0.169,0.19300000000000003,0.001953125,48.0,21.9375
无干扰 #2,E5a,350,0.253,0.25300000000000006,0.001953125,40.0,20.234375
无干扰 #2,E5b,350,0.169,0.18100000000000002,0.001953125,48.0,20.59375
无干扰 #2,L1,700,0.253,0.2542714285714286,0.001953125,46.0,20.5
无干扰 #2,L2,550,0.253,0.25300000000000006,0.001953125,45.0,19.828125
无干扰 #2,L5,250,0.253,0.2784,0.001953125,41.0,16.875
392MHz 干扰,B1,24,0.38,0.3561666666666667,0.00390625,28.5,0.0
392MHz 干扰,L1,10,0.253,0.253,0.001953125,34.0,0.1875
无干扰 #3,B1,590,0.253,0.2555050847457628,0.001953125,45.0,14.6875
无干扰 #3,B2I,50,0.253,0.25300000000000006,0.001953125,36.0,15.890625
无干扰 #3,B2a,150,0.253,0.2606200000000001,0.001953125,41.0,11.09375
无干扰 #3,B3,499,0.253,0.2636893787575151,0.001953125,39.0,11.375
无干扰 #3,E1,350,0.169,0.18100000000000002,0.001953125,48.0,16.640625
无干扰 #3,E5a,350,0.253,0.25300000000000006,0.001953125,40.0,15.28125
无干扰 #3,E5b,350,0.169,0.18100000000000002,0.001953125,48.0,15.328125
无干扰 #3,L1,750,0.253,0.24836266666666673,0.001953125,44.0,15.0
无干扰 #3,L2,650,0.253,0.25157846153846164,0.001953125,43.0,14.640625
无干扰 #3,L5,267,0.253,0.3038951310861423,0.001953125,42.0,10.5
4G/5G 干扰,B1,581,0.253,0.2604698795180723,0.001953125,45.0,61.375
4G/5G 干扰,B2I,50,0.253,0.25300000000000006,0.001953125,34.0,62.6875
4G/5G 干扰,B2a,150,0.253,0.2911,0.001953125,41.0,10.390625
4G/5G 干扰,B3,513,0.253,0.2740428849902534,0.001953125,40.0,58.0
4G/5G 干扰,E1,350,0.169,0.18100000000000002,0.001953125,48.0,63.4375
4G/5G 干扰,E5a,350,0.253,0.25300000000000006,0.001953125,40.0,61.28125
4G/5G 干扰,E5b,350,0.169,0.19419999999999998,0.001953125,48.0,62.140625
4G/5G 干扰,L1,750,0.253,0.24331200000000006,0.001953125,46.0,61.375
4G/5G 干扰,L2,650,0.253,0.25651692307692314,0.001953125,44.0,61.046875
4G/5G 干扰,L5,250,0.253,0.29872000000000004,0.001953125,41.0,57.4375
无干扰 #4,B1,600,0.253,0.25928333333333337,0.001953125,44.5,115.0
无干扰 #4,B2I,50,0.253,0.25300000000000006,0.001953125,36.0,116.484375
无干扰 #4,B2a,100,0.253,0.25300000000000006,0.001953125,41.5,89.1875
无干扰 #4,B3,489,0.253,0.26079141104294484,0.001953125,40.0,112.1875
无干扰 #4,E1,350,0.169,0.18100000000000002,0.001953125,48.0,117.234375
无干扰 #4,E5a,350,0.253,0.25300000000000006,0.001953125,39.0,115.09375
无干扰 #4,E5b,350,0.169,0.20668000000000003,0.001953125,47.0,115.9375
无干扰 #4,L1,744,0.253,0.22673118279569898,0.001953125,46.0,115.1875
无干扰 #4,L2,650,0.253,0.2627692307692308,0.001953125,44.0,114.140625
无干扰 #4,L5,200,0.253,0.28475000000000006,0.001953125,42.0,112.875
Wi-Fi 干扰,B1,600,0.253,0.2671666666666667,0.001953125,44.5,169.1875
Wi-Fi 干扰,B2I,50,0.253,0.25300000000000006,0.001953125,37.0,170.6875
Wi-Fi 干扰,B2a,100,0.253,0.25300000000000006,0.001953125,41.0,143.390625
Wi-Fi 干扰,B3,494,0.253,0.2578846153846155,0.001953125,40.0,163.28125
Wi-Fi 干扰,E1,400,0.169,0.20050000000000004,0.001953125,48.0,170.78125
Wi-Fi 干扰,E5a,379,0.253,0.2627176781002639,0.001953125,39.0,168.875
Wi-Fi 干扰,E5b,400,0.253,0.22150000000000006,0.001953125,47.0,169.375
Wi-Fi 干扰,L1,750,0.253,0.2569080000000001,0.001953125,45.0,169.375
Wi-Fi 干扰,L2,650,0.253,0.2627692307692308,0.001953125,44.0,168.328125
Wi-Fi 干扰,L5,180,0.253,0.2741666666666667,0.001953125,42.0,167.734375
无干扰 #5,B1,575,0.253,0.2463373913043479,0.001953125,45.0,219.5
无干扰 #5,B2I,50,0.253,0.25300000000000006,0.001953125,37.0,220.6875
无干扰 #5,B2a,100,0.253,0.25300000000000006,0.001953125,41.0,193.390625
无干扰 #5,B3,532,0.253,0.26684586466165416,0.001953125,39.0,67.1875
无干扰 #5,E1,400,0.21100000000000002,0.21100000000000002,0.001953125,47.0,220.78125
无干扰 #5,E5a,350,0.253,0.25300000000000006,0.001953125,40.0,219.28125
无干扰 #5,E5b,391,0.253,0.22077493606138113,0.001953125,46.0,219.59375
无干扰 #5,L1,703,0.253,0.223669985775249,0.001953125,45.0,219.1875
无干扰 #5,L2,650,0.253,0.2627692307692308,0.001953125,43.0,218.328125
无干扰 #5,L5,200,0.253,0.28475000000000006,0.001953125,41.5,217.09375
