interf_seg,delta_median,delta_p25,delta_p75,n_lost,pll_change_pct,etsi_pass
409MHz 干扰,-13.6875,-19.4375,-8.90625,14,0.0,False
392MHz 干扰,-11.3125,-12.34375,-10.875,33,0.0,False
4G/5G 干扰,0.0,-0.25,0.5,0,0.0,True
Wi-Fi 干扰,-0.25,-0.75,0.1875,0,0.0,True
