svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,3866,47.75,22.75,45.5,46.5,46.0,45.228724780134506
BDS14,BDS,4128,44.75,21.0,37.5,41.25,39.0,37.86452277131783
BDS2,BDS,3448,42.0,22.25,37.25,38.25,37.75,37.46193445475638
BDS21,BDS,5876,47.75,15.75,42.25,45.25,43.25,42.216729067392784
BDS22,BDS,4347,47.0,14.75,31.5,41.25,34.75,35.58994708994709
BDS3,BDS,3814,46.25,23.0,44.0,44.5,44.25,43.493772941793395
BDS34,BDS,5032,39.0,16.0,31.0,35.0,32.75,32.560363672496024
BDS35,BDS,5922,49.75,24.25,43.5,46.0,44.75,43.42447652819993
BDS4,BDS,3812,44.75,23.25,42.75,43.5,43.25,42.39887198321091
BDS6,BDS,4210,48.0,22.5,43.75,46.75,44.5,43.2624703087886
BDS8,BDS,4199,46.5,17.0,43.75,45.25,44.75,42.565432245772804
BDS9,BDS,5840,40.0,15.75,33.75,37.25,35.25,34.77876712328767
GAL10,GAL,6018,48.75,21.5,44.25,46.0,45.0,43.75066467264872
GAL12,GAL,5634,47.75,20.25,38.25,42.5,41.0,39.90042598509052
GAL18,GAL,6079,48.5,23.5,44.25,46.75,45.0,44.09269616713275
GAL28,GAL,5944,46.5,20.5,41.25,44.5,43.0,41.68106493943473
GAL4,GAL,5971,47.75,23.0,43.0,46.25,44.25,43.461354881929324
GAL6,GAL,5875,48.0,21.0,44.0,45.0,44.5,43.201531914893614
GAL9,GAL,6075,48.0,25.0,43.75,46.25,44.5,43.64078189300412
GLO81,GLO,3997,47.75,26.5,43.75,45.75,44.5,44.04841130848136
GLO82,GLO,3997,45.25,18.5,40.25,42.75,41.75,40.8036652489367
GLO95,GLO,4010,45.25,22.5,42.5,43.75,43.25,42.498129675810475
GLO96,GLO,4168,46.5,16.5,41.75,45.25,42.5,42.14947216890595
GLO97,GLO,1890,41.5,30.5,36.25,38.25,37.5,37.289550264550265
GPS11,GPS,5901,47.5,19.75,41.25,45.5,44.75,43.10133875614303
GPS15,GPS,3993,45.25,21.75,39.5,43.75,41.0,41.04839719509141
GPS20,GPS,4336,46.75,19.25,42.0,43.75,42.75,42.01095479704797
GPS29,GPS,3955,39.0,10.75,31.75,35.25,33.25,33.10530973451328
GPS30,GPS,2039,35.0,16.0,24.5,30.0,27.75,27.19409024031388
GPS5,GPS,3993,45.75,21.25,38.5,44.5,39.5,40.8675807663411
GPS6,GPS,5041,43.25,14.5,27.5,34.75,31.5,31.45551477881373
QZS385,QZS,5294,36.0,17.0,31.5,34.25,32.5,32.21812429165092
QZS386,QZS,5879,46.75,20.25,41.75,44.75,43.0,42.40878550773941
QZS390,QZS,5876,49.75,16.5,37.5,45.0,40.75,40.30756466984343
