baseline_seg,interf_seg,band,baseline_std_psr,interf_std_psr,delta,baseline_cno,interf_cno,delta_cno
无干扰 #1,409MHz 干扰,L5,0.253,0.253,0.0,46.0,35.0,-11.0
无干扰 #1,409MHz 干扰,E1,0.253,0.253,0.0,46.0,45.0,-1.0
无干扰 #1,409MHz 干扰,E5a,0.253,0.38,0.127,44.0,30.0,-14.0
无干扰 #1,409MHz 干扰,B2,0.253,0.253,0.0,44.0,34.0,-10.0
无干扰 #1,409MHz 干扰,E5b,0.253,0.253,0.0,44.0,39.0,-5.0
无干扰 #1,409MHz 干扰,B3,0.253,0.38,0.127,42.5,29.0,-13.5
无干扰 #1,409MHz 干扰,L2,0.253,0.253,0.0,41.0,32.0,-9.0
无干扰 #1,409MHz 干扰,L1,0.253,0.253,0.0,42.0,41.0,-1.0
无干扰 #1,409MHz 干扰,B1,0.253,0.253,0.0,44.0,43.0,-1.0
无干扰 #2,392MHz 干扰,E1,0.253,0.38,0.127,46.0,30.0,-16.0
无干扰 #2,392MHz 干扰,B2,0.253,0.38,0.127,41.0,25.0,-16.0
无干扰 #2,392MHz 干扰,E5b,0.253,0.253,0.0,44.0,36.0,-8.0
无干扰 #2,392MHz 干扰,B3,0.253,0.253,0.0,43.0,34.0,-9.0
无干扰 #2,392MHz 干扰,L2,0.253,0.253,0.0,40.0,42.0,2.0
无干扰 #2,392MHz 干扰,L1,0.253,0.38,0.127,42.0,28.0,-14.0
无干扰 #2,392MHz 干扰,B1,0.253,0.38,0.127,43.0,25.0,-18.0
无干扰 #3,4G/5G 干扰,L5,0.253,0.253,0.0,46.0,44.0,-2.0
无干扰 #3,4G/5G 干扰,E1,0.253,0.253,0.0,46.0,46.5,0.5
无干扰 #3,4G/5G 干扰,E5a,0.253,0.253,0.0,44.0,43.0,-1.0
无干扰 #3,4G/5G 干扰,B2,0.253,0.253,0.0,38.0,40.5,2.5
无干扰 #3,4G/5G 干扰,E5b,0.253,0.253,0.0,45.0,43.0,-2.0
无干扰 #3,4G/5G 干扰,B3,0.253,0.253,0.0,43.0,42.0,-1.0
无干扰 #3,4G/5G 干扰,L2,0.253,0.253,0.0,42.0,40.0,-2.0
无干扰 #3,4G/5G 干扰,L1,0.253,0.253,0.0,43.0,43.0,0.0
无干扰 #3,4G/5G 干扰,B1,0.253,0.253,0.0,42.5,42.0,-0.5
无干扰 #4,Wi-Fi 干扰,L5,0.253,0.253,0.0,46.0,44.0,-2.0
无干扰 #4,Wi-Fi 干扰,E1,0.253,0.253,0.0,46.0,45.5,-0.5
无干扰 #4,Wi-Fi 干扰,E5a,0.253,0.253,0.0,44.0,43.0,-1.0
无干扰 #4,Wi-Fi 干扰,B2,0.253,0.253,0.0,38.0,36.0,-2.0
无干扰 #4,Wi-Fi 干扰,E5b,0.253,0.253,0.0,45.0,43.0,-2.0
无干扰 #4,Wi-Fi 干扰,B3,0.253,0.253,0.0,43.0,43.0,0.0
无干扰 #4,Wi-Fi 干扰,L2,0.253,0.253,0.0,41.0,40.0,-1.0
无干扰 #4,Wi-Fi 干扰,L1,0.253,0.253,0.0,43.0,43.0,0.0
无干扰 #4,Wi-Fi 干扰,B1,0.253,0.253,0.0,42.0,43.0,1.0
