interf_seg,svid,sys,track_gap_sec,rc_gap_sec
409MHz 干扰,GPS30,GPS,4.0,4.0
409MHz 干扰,QZS385,QZS,10.0,10.0
409MHz 干扰,QZS194,QZS,10.0,10.0
392MHz 干扰,GAL12,GAL,10.0,10.0
392MHz 干扰,GLO97,GLO,10.0,10.0
392MHz 干扰,GPS30,GPS,10.0,10.0
