baseline_seg,interf_seg,band,baseline_std_psr,interf_std_psr,delta,baseline_cno,interf_cno,delta_cno
无干扰 #1,409MHz 干扰,L1,0.253,0.38,0.127,45.0,25.0,-20.0
无干扰 #1,409MHz 干扰,B2,0.253,0.253,0.0,39.5,35.0,-4.5
无干扰 #1,409MHz 干扰,E1,0.169,0.38,0.211,48.0,28.0,-20.0
无干扰 #1,409MHz 干扰,B1,0.253,0.253,0.0,44.0,33.0,-11.0
无干扰 #2,392MHz 干扰,L1,0.253,0.253,0.0,46.0,34.0,-12.0
无干扰 #2,392MHz 干扰,B1,0.253,0.38,0.127,44.0,28.5,-15.5
无干扰 #3,4G/5G 干扰,L1,0.253,0.253,0.0,44.0,46.0,2.0
无干扰 #3,4G/5G 干扰,B2,0.253,0.253,0.0,38.5,38.0,-0.5
无干扰 #3,4G/5G 干扰,E1,0.169,0.169,0.0,48.0,48.0,0.0
无干扰 #3,4G/5G 干扰,B1,0.253,0.253,0.0,45.0,45.0,0.0
无干扰 #3,4G/5G 干扰,L5,0.253,0.253,0.0,42.0,41.0,-1.0
无干扰 #3,4G/5G 干扰,E5a,0.253,0.253,0.0,40.0,40.0,0.0
无干扰 #3,4G/5G 干扰,B3,0.253,0.253,0.0,39.0,40.0,1.0
无干扰 #3,4G/5G 干扰,E5b,0.169,0.169,0.0,48.0,48.0,0.0
无干扰 #3,4G/5G 干扰,L2,0.253,0.253,0.0,43.0,44.0,1.0
无干扰 #4,Wi-Fi 干扰,L1,0.253,0.253,0.0,46.0,45.0,-1.0
无干扰 #4,Wi-Fi 干扰,B2,0.253,0.253,0.0,40.0,41.0,1.0
无干扰 #4,Wi-Fi 干扰,E1,0.169,0.169,0.0,48.0,48.0,0.0
无干扰 #4,Wi-Fi 干扰,B1,0.253,0.253,0.0,44.5,44.5,0.0
无干扰 #4,Wi-Fi 干扰,L5,0.253,0.253,0.0,42.0,42.0,0.0
无干扰 #4,Wi-Fi 干扰,E5a,0.253,0.253,0.0,39.0,39.0,0.0
无干扰 #4,Wi-Fi 干扰,B3,0.253,0.253,0.0,40.0,40.0,0.0
无干扰 #4,Wi-Fi 干扰,E5b,0.169,0.253,0.08399999999999999,47.0,47.0,0.0
无干扰 #4,Wi-Fi 干扰,L2,0.253,0.253,0.0,44.0,44.0,0.0
