label,n,std_psr_median,std_psr_mean,std_psr_p25,std_psr_p75,std_adr_median,std_adr_mean,locktime_median,locktime_p25,doppler_std,cno_median
无干扰 #1,4100,0.253,0.2445024390243903,0.253,0.253,0.001953125,0.0020369664634146342,263.1875,227.78125,1436.4605374549585,42.0
409MHz 干扰,1072,0.38,0.33857929104477613,0.253,0.38,0.00390625,0.0031045942164179105,0.1875,0.0,1463.2968096322143,29.0
无干扰 #2,3991,0.253,0.2459719368579304,0.253,0.253,0.001953125,0.002021638530443498,20.1875,17.0,1456.0495478951004,42.0
392MHz 干扰,34,0.38,0.32582352941176473,0.253,0.38,0.001953125,0.002814797794117647,0.0,0.0,560.2814983465971,31.0
无干扰 #3,4006,0.253,0.24469795307039446,0.253,0.253,0.001953125,0.002041371536445332,14.5,11.59375,1423.2421877284232,42.0
4G/5G 干扰,3994,0.253,0.24837305958938413,0.253,0.253,0.001953125,0.0020465268214822233,61.0,57.5,1416.8986256832834,42.0
无干扰 #4,3883,0.253,0.24252459438578428,0.253,0.253,0.001953125,0.002026059103785733,114.78125,111.5,1404.5357651206427,43.0
Wi-Fi 干扰,4003,0.253,0.2515228578566076,0.253,0.253,0.001953125,0.0020980358481139144,168.6875,122.984375,1420.4309609428828,42.0
无干扰 #5,3951,0.253,0.24444925335358142,0.253,0.253,0.001953125,0.0020178831308529485,218.6875,170.78125,1438.3219678079522,42.0
