interf_seg,delta_median,delta_p25,delta_p75,n_lost,pll_change_pct,etsi_pass
409MHz 干扰,-3.5625,-5.0625,-2.375,0,0.0,False
392MHz 干扰,-8.9375,-10.75,-4.84375,0,0.0,False
4G/5G 干扰,0.1875,-0.28125,0.5,0,0.0,True
Wi-Fi 干扰,-0.25,-0.5,0.25,0,0.0,True
