segment,band,n,std_psr_median,std_psr_mean,std_adr_median,cno_median,locktime_median
Wi-Fi 干扰,L2,850,0.253,0.2754117647058824,0.001953125,44.0,196.59375
Wi-Fi 干扰,L5,450,0.253,0.2427333333333334,0.001953125,46.0,195.59375
无干扰 #5,B1,750,0.253,0.2312266666666667,0.001953125,47.0,251.6875
无干扰 #5,B2I,100,0.253,0.25300000000000006,0.001953125,44.0,269.9375
无干扰 #5,B2a,250,0.169,0.18580000000000002,0.001953125,48.0,250.140625
无干扰 #5,B3,700,0.253,0.23500000000000004,0.001953125,45.0,250.9375
无干扰 #5,E1,400,0.21100000000000002,0.21100000000000002,0.001953125,45.5,249.9375
无干扰 #5,E5a,356,0.253,0.2551404494382023,0.001953125,45.0,249.28125
无干扰 #5,E5b,400,0.169,0.20050000000000004,0.001953125,49.0,268.046875
无干扰 #5,L1,850,0.253,0.24821647058823534,0.001953125,44.0,251.1875
无干扰 #5,L2,850,0.253,0.25805882352941184,0.001953125,43.0,250.6875
无干扰 #5,L5,450,0.253,0.25300000000000006,0.001953125,45.0,250.375
