sys,n,fisher_z_avg_r,r_median,r_mean,n_strong,n_moderate,n_weak
BDS,14,0.631029773124866,0.6457031210601465,0.6150786175874503,5,7,2
GAL,7,0.39560411213083535,0.46965798871184905,0.38424567379649,0,5,2
GLO,5,0.4532965469558594,0.493374599791169,0.44851233348995345,0,4,1
GPS,9,0.3843971485279346,0.4150185501900321,0.3773901480538317,0,5,4
QZS,3,0.3325654025893016,0.30210223779988493,0.32928293786922386,0,1,2
