segment,svid,sys,n,std_psr_median,std_psr_max,std_adr_median,locktime_median,cno_median
无干扰 #2,BDS1,BDS,100,0.21100000000000002,0.253,0.001953125,182.125,46.5
无干扰 #2,BDS10,BDS,150,0.253,0.253,0.001953125,53.484375,43.0
无干扰 #2,BDS12,BDS,100,0.169,0.169,0.001953125,184.53125,48.0
无干扰 #2,BDS19,BDS,150,0.169,0.253,0.001953125,23.046875,47.0
无干扰 #2,BDS2,BDS,100,0.253,0.253,0.001953125,16.234375,39.5
无干扰 #2,BDS20,BDS,150,0.169,0.253,0.001953125,22.9375,48.0
无干扰 #2,BDS22,BDS,150,0.253,0.253,0.001953125,21.140625,40.0
无干扰 #2,BDS3,BDS,100,0.253,0.253,0.001953125,182.125,45.5
无干扰 #2,BDS36,BDS,150,0.169,0.169,0.001953125,22.28125,48.0
无干扰 #2,BDS39,BDS,150,0.253,0.253,0.001953125,21.640625,43.0
无干扰 #2,BDS4,BDS,100,0.253,0.253,0.001953125,181.234375,45.5
无干扰 #2,BDS6,BDS,100,0.169,0.169,0.001953125,182.28125,49.0
无干扰 #2,BDS7,BDS,100,0.253,0.253,0.001953125,182.078125,46.5
无干扰 #2,BDS9,BDS,150,0.253,0.253,0.001953125,48.6875,45.0
无干扰 #2,GAL15,GAL,150,0.253,0.253,0.001953125,52.6875,44.0
无干扰 #2,GAL2,GAL,150,0.253,0.253,0.001953125,59.390625,46.0
无干扰 #2,GAL25,GAL,150,0.253,0.253,0.001953125,59.390625,47.0
无干扰 #2,GAL3,GAL,150,0.169,0.253,0.001953125,24.59375,48.0
无干扰 #2,GAL32,GAL,150,0.169,0.253,0.001953125,59.390625,47.0
无干扰 #2,GAL8,GAL,150,0.253,0.253,0.001953125,3.78125,33.0
无干扰 #2,GLO78,GLO,100,0.253,0.253,0.001953125,21.234375,45.0
无干扰 #2,GLO79,GLO,100,0.21100000000000002,0.253,0.001953125,21.59375,46.5
无干扰 #2,GLO80,GLO,100,0.253,0.253,0.001953125,20.640625,42.0
无干扰 #2,GLO89,GLO,75,0.38,0.57,0.00390625,0.0,24.0
无干扰 #2,GLO90,GLO,100,0.253,0.253,0.001953125,21.328125,46.0
无干扰 #2,GPS10,GPS,150,0.253,0.253,0.001953125,22.546875,47.0
无干扰 #2,GPS12,GPS,100,0.253,0.253,0.001953125,180.140625,45.0
无干扰 #2,GPS13,GPS,150,0.253,0.253,0.001953125,22.484375,45.0
无干扰 #2,GPS23,GPS,150,0.253,0.253,0.001953125,22.59375,47.0
无干扰 #2,GPS24,GPS,150,0.253,0.38,0.001953125,10.390625,34.0
无干扰 #2,GPS25,GPS,150,0.253,0.253,0.001953125,22.640625,45.0
无干扰 #2,GPS28,GPS,150,0.253,0.253,0.001953125,21.09375,38.0
无干扰 #2,GPS31,GPS,78,0.38,0.38,0.0029296875,1.28125,30.0
无干扰 #2,GPS32,GPS,150,0.253,0.253,0.001953125,22.140625,39.0
无干扰 #2,QZS194,QZS,150,0.253,0.253,0.001953125,21.78125,46.0
无干扰 #2,QZS195,QZS,150,0.253,0.253,0.001953125,21.640625,40.0
无干扰 #2,QZS199,QZS,150,0.253,0.253,0.001953125,22.484375,46.0
392MHz 干扰,BDS1,BDS,59,0.38,0.38,0.00390625,0.0,29.0
392MHz 干扰,BDS10,BDS,100,0.253,0.38,0.001953125,4.890625,33.0
392MHz 干扰,BDS12,BDS,100,0.38,0.38,0.00390625,3.046875,30.0
392MHz 干扰,BDS19,BDS,57,0.253,0.38,0.001953125,2.0,31.0
392MHz 干扰,BDS2,BDS,10,0.38,0.38,0.00390625,0.0,27.0
392MHz 干扰,BDS20,BDS,50,0.253,0.253,0.001953125,5.6875,32.0
392MHz 干扰,BDS22,BDS,50,0.38,0.38,0.00390625,2.484375,30.0
392MHz 干扰,BDS3,BDS,33,0.38,0.38,0.00390625,0.0,25.0
392MHz 干扰,BDS36,BDS,100,0.38,0.38,0.00390625,6.734375,30.0
392MHz 干扰,BDS39,BDS,100,0.38,0.57,0.00390625,0.09375,26.0
392MHz 干扰,BDS4,BDS,65,0.38,0.38,0.00390625,0.0,28.0
392MHz 干扰,BDS6,BDS,100,0.253,0.38,0.001953125,2.234375,32.0
392MHz 干扰,BDS7,BDS,100,0.38,0.38,0.00390625,1.375,29.0
392MHz 干扰,BDS9,BDS,100,0.253,0.253,0.001953125,46.59375,35.0
392MHz 干扰,GAL15,GAL,100,0.253,0.38,0.001953125,4.546875,38.0
392MHz 干扰,GAL2,GAL,100,0.253,0.253,0.001953125,50.28125,40.5
392MHz 干扰,GAL25,GAL,100,0.253,0.253,0.001953125,9.6875,40.5
392MHz 干扰,GAL3,GAL,100,0.253,0.253,0.001953125,2.09375,39.5
392MHz 干扰,GAL32,GAL,100,0.253,0.253,0.001953125,4.03125,40.0
392MHz 干扰,GAL8,GAL,50,0.38,0.38,0.00390625,0.0,27.0
392MHz 干扰,GLO78,GLO,100,0.3165,0.57,0.0029296875,29.484375,35.0
392MHz 干扰,GLO79,GLO,100,0.253,0.38,0.001953125,30.4375,36.5
392MHz 干扰,GLO80,GLO,80,0.253,0.57,0.001953125,0.375,32.0
392MHz 干扰,GLO90,GLO,100,0.253,0.38,0.001953125,29.734375,37.0
392MHz 干扰,GPS10,GPS,100,0.253,0.253,0.001953125,8.125,35.0
392MHz 干扰,GPS12,GPS,100,0.253,0.38,0.001953125,5.6875,32.5
392MHz 干扰,GPS13,GPS,100,0.253,0.38,0.001953125,2.28125,33.0
392MHz 干扰,GPS23,GPS,100,0.253,0.253,0.001953125,10.484375,34.0
392MHz 干扰,GPS24,GPS,80,0.38,0.57,0.00390625,0.1875,29.0
392MHz 干扰,GPS25,GPS,100,0.253,0.38,0.001953125,2.59375,34.0
392MHz 干扰,GPS28,GPS,100,0.38,0.38,0.00390625,0.6875,28.0
392MHz 干扰,GPS32,GPS,100,0.38,0.38,0.00390625,1.4375,30.0
392MHz 干扰,QZS194,QZS,100,0.253,0.38,0.001953125,3.0,35.0
392MHz 干扰,QZS195,QZS,100,0.38,0.38,0.00390625,0.1875,26.5
392MHz 干扰,QZS199,QZS,100,0.253,0.38,0.001953125,3.09375,33.0
无干扰 #3,BDS1,BDS,100,0.21100000000000002,0.253,0.001953125,21.09375,46.0
无干扰 #3,BDS10,BDS,150,0.253,0.253,0.001953125,22.9375,42.0
无干扰 #3,BDS12,BDS,100,0.21100000000000002,0.253,0.001953125,20.5,47.0
无干扰 #3,BDS16,BDS,50,0.38,0.38,0.00390625,0.4375,26.5
无干扰 #3,BDS19,BDS,150,0.253,0.253,0.001953125,20.875,47.0
无干扰 #3,BDS2,BDS,100,0.253,0.253,0.001953125,20.9375,39.5
无干扰 #3,BDS20,BDS,150,0.169,0.253,0.001953125,20.28125,48.0
无干扰 #3,BDS22,BDS,150,0.253,0.253,0.001953125,18.875,40.0
无干扰 #3,BDS3,BDS,100,0.253,0.253,0.001953125,20.546875,46.0
无干扰 #3,BDS36,BDS,150,0.169,0.253,0.001953125,21.046875,48.0
无干扰 #3,BDS39,BDS,150,0.253,0.253,0.001953125,20.28125,44.0
无干扰 #3,BDS4,BDS,100,0.253,0.253,0.001953125,21.046875,45.0
无干扰 #3,BDS6,BDS,100,0.169,0.169,0.001953125,31.6875,48.0
无干扰 #3,BDS7,BDS,100,0.253,0.253,0.001953125,20.546875,46.0
无干扰 #3,BDS9,BDS,150,0.253,0.253,0.001953125,21.5,45.0
无干扰 #3,GAL15,GAL,150,0.253,0.253,0.001953125,23.390625,43.0
无干扰 #3,GAL2,GAL,150,0.169,0.253,0.001953125,23.4375,47.0
无干扰 #3,GAL25,GAL,150,0.169,0.253,0.001953125,23.59375,47.0
无干扰 #3,GAL3,GAL,150,0.169,0.253,0.001953125,21.140625,48.0
无干扰 #3,GAL32,GAL,150,0.169,0.253,0.001953125,23.4375,48.0
无干扰 #3,GAL8,GAL,128,0.253,0.38,0.001953125,7.78125,36.0
无干扰 #3,GLO78,GLO,100,0.253,0.253,0.001953125,63.234375,46.0
无干扰 #3,GLO79,GLO,100,0.21100000000000002,0.253,0.001953125,63.6875,47.5
无干扰 #3,GLO80,GLO,100,0.253,0.38,0.001953125,16.890625,38.5
无干扰 #3,GLO89,GLO,73,0.38,0.38,0.00390625,0.09375,30.0
无干扰 #3,GLO90,GLO,100,0.253,0.253,0.001953125,63.984375,46.0
无干扰 #3,GPS10,GPS,150,0.169,0.253,0.001953125,22.5,47.0
无干扰 #3,GPS12,GPS,100,0.253,0.253,0.001953125,21.0,44.0
无干扰 #3,GPS13,GPS,100,0.253,0.253,0.001953125,28.59375,44.0
无干扰 #3,GPS23,GPS,150,0.253,0.253,0.001953125,20.9375,47.0
无干扰 #3,GPS24,GPS,120,0.253,0.57,0.001953125,19.4375,37.0
无干扰 #3,GPS25,GPS,150,0.253,0.253,0.001953125,21.09375,46.0
无干扰 #3,GPS28,GPS,150,0.253,0.253,0.001953125,19.875,39.0
无干扰 #3,GPS31,GPS,93,0.38,0.38,0.00390625,0.09375,29.0
无干扰 #3,GPS32,GPS,150,0.253,0.253,0.001953125,19.328125,39.0
无干扰 #3,QZS194,QZS,150,0.253,0.253,0.001953125,20.875,46.0
无干扰 #3,QZS195,QZS,150,0.253,0.253,0.001953125,20.0,39.0
无干扰 #3,QZS199,QZS,150,0.253,0.253,0.001953125,20.734375,46.0
4G/5G 干扰,BDS1,BDS,100,0.21100000000000002,0.253,0.001953125,68.6875,46.5
4G/5G 干扰,BDS10,BDS,150,0.253,0.253,0.001953125,70.546875,44.0
4G/5G 干扰,BDS12,BDS,100,0.169,0.169,0.001953125,68.09375,48.0
4G/5G 干扰,BDS16,BDS,50,0.38,0.38,0.00390625,0.28125,26.0
4G/5G 干扰,BDS19,BDS,150,0.253,0.253,0.001953125,68.5,47.0
4G/5G 干扰,BDS2,BDS,94,0.253,0.253,0.001953125,23.59375,39.0
4G/5G 干扰,BDS20,BDS,150,0.169,0.253,0.001953125,67.875,48.0
4G/5G 干扰,BDS22,BDS,138,0.253,0.253,0.001953125,21.28125,40.0
4G/5G 干扰,BDS3,BDS,100,0.253,0.253,0.001953125,68.140625,46.0
4G/5G 干扰,BDS36,BDS,150,0.169,0.169,0.001953125,68.640625,48.0
4G/5G 干扰,BDS39,BDS,150,0.253,0.253,0.001953125,67.890625,43.0
4G/5G 干扰,BDS4,BDS,100,0.253,0.253,0.001953125,68.640625,45.0
4G/5G 干扰,BDS6,BDS,100,0.169,0.169,0.001953125,79.28125,49.0
4G/5G 干扰,BDS7,BDS,100,0.21100000000000002,0.253,0.001953125,68.140625,46.5
4G/5G 干扰,BDS9,BDS,150,0.253,0.253,0.001953125,69.09375,45.0
4G/5G 干扰,GAL13,GAL,4,0.253,0.253,0.001953125,0.6875,34.5
4G/5G 干扰,GAL15,GAL,150,0.253,0.253,0.001953125,70.984375,43.0
