interf_seg,delta_median,delta_p25,delta_p75,n_lost,pll_change_pct,etsi_pass
409MHz 干扰,-7.3125,-9.5,-2.25,1,0.0,False
392MHz 干扰,-11.375,-15.75,-9.25,3,0.0,False
4G/5G 干扰,0.0,-0.25,0.59375,0,0.0,True
Wi-Fi 干扰,-0.25,-0.75,0.25,0,0.0,True
