interf_seg,svid,sys,track_gap_sec,rc_gap_sec
409MHz 干扰,GLO89,GLO,10.0,10.0
392MHz 干扰,GLO89,GLO,10.0,10.0
392MHz 干扰,BDS16,BDS,10.0,10.0
392MHz 干扰,GPS31,GPS,10.0,10.0
