system,sat_id,count,max,min,p75,p25,median
BDS,1,39,49.00,48.00,49.00,49.00,49.00
BDS,2,39,47.00,45.00,46.50,46.00,46.00
BDS,3,39,49.00,48.00,49.00,49.00,49.00
BDS,4,39,43.00,42.00,42.00,42.00,42.00
BDS,6,39,44.00,43.00,44.00,43.00,43.00
BDS,7,39,50.00,50.00,50.00,50.00,50.00
BDS,10,39,46.00,45.00,46.00,45.00,46.00
BDS,11,39,41.00,37.00,40.00,38.00,39.00
BDS,12,39,41.00,40.00,41.00,41.00,41.00
BDS,20,39,45.00,45.00,45.00,45.00,45.00
BDS,23,39,48.00,48.00,48.00,48.00,48.00
BDS,27,39,32.00,24.00,31.00,26.50,28.00
BDS,29,39,45.00,43.00,44.00,43.00,44.00
BDS,30,39,45.00,43.00,44.00,44.00,44.00
BDS,37,39,45.00,43.00,44.00,44.00,44.00
BDS,41,39,44.00,44.00,44.00,44.00,44.00
GAL,3,39,44.00,43.00,43.00,43.00,43.00
GAL,11,39,36.00,34.00,35.50,35.00,35.00
GAL,16,39,40.00,39.00,39.00,39.00,39.00
GAL,31,39,39.00,39.00,39.00,39.00,39.00
GAL,34,39,47.00,46.00,47.00,46.00,46.00
GAL,36,39,46.00,45.00,46.00,45.00,46.00
GLO,6,39,43.00,41.00,42.00,41.00,42.00
GLO,8,39,39.00,37.00,39.00,37.00,38.00
GLO,9,39,47.00,47.00,47.00,47.00,47.00
GLO,10,39,37.00,36.00,37.00,36.00,37.00
GLO,21,39,30.00,21.00,28.00,25.00,26.00
GLO,22,39,45.00,44.00,45.00,45.00,45.00
GLO,23,39,42.00,40.00,42.00,41.00,41.00
GLO,26,39,36.00,31.00,35.00,33.00,34.00
GLO,27,39,36.00,33.00,36.00,33.50,35.00
GPS,10,2,26.00,26.00,26.00,26.00,26.00
GPS,12,39,26.00,23.00,24.00,23.00,23.00
GPS,13,39,40.00,39.00,40.00,39.00,39.00
GPS,15,39,44.00,42.00,43.00,42.00,43.00
GPS,18,39,45.00,45.00,45.00,45.00,45.00
GPS,20,39,38.00,38.00,38.00,38.00,38.00
GPS,24,39,44.00,44.00,44.00,44.00,44.00
GPS,32,39,39.00,35.00,39.00,38.00,38.00
QZS,3,39,41.00,39.00,40.00,39.00,40.00
QZS,7,39,38.00,37.00,37.00,37.00,37.00
