system,sat_id,count,max,min,p75,p25,median
BDS,1,70,49.00,49.00,49.00,49.00,49.00
BDS,2,70,46.00,45.00,46.00,45.00,46.00
BDS,3,70,49.00,49.00,49.00,49.00,49.00
BDS,4,70,43.00,42.00,43.00,43.00,43.00
BDS,6,70,45.00,44.00,45.00,44.00,44.00
BDS,7,70,50.00,49.00,50.00,50.00,50.00
BDS,10,70,45.00,45.00,45.00,45.00,45.00
BDS,11,70,47.00,44.00,46.00,44.25,45.00
BDS,12,70,46.00,45.00,46.00,45.00,46.00
BDS,20,70,45.00,44.00,45.00,44.00,45.00
BDS,23,70,48.00,47.00,48.00,47.00,48.00
BDS,27,70,36.00,31.00,36.00,32.00,34.00
BDS,29,70,41.00,39.00,41.00,39.00,40.00
BDS,30,70,45.00,44.00,45.00,44.00,45.00
BDS,37,70,45.00,44.00,44.00,44.00,44.00
BDS,41,70,46.00,45.00,45.00,45.00,45.00
GAL,3,70,45.00,44.00,45.00,44.00,45.00
GAL,5,14,37.00,23.00,36.75,24.25,33.00
GAL,11,70,39.00,36.00,38.00,36.00,36.00
GAL,16,41,43.00,41.00,42.00,42.00,42.00
GAL,31,70,40.00,36.00,39.00,38.00,39.00
GAL,34,70,47.00,46.00,47.00,46.00,47.00
GAL,36,70,50.00,48.00,49.00,49.00,49.00
GLO,6,70,45.00,41.00,44.00,42.00,43.50
GLO,8,70,40.00,38.00,39.00,39.00,39.00
GLO,9,70,45.00,43.00,44.00,43.00,43.00
GLO,10,70,39.00,34.00,37.00,36.00,37.00
GLO,21,57,34.00,28.00,33.00,32.00,32.00
GLO,22,70,47.00,43.00,45.00,43.00,45.00
GLO,23,70,45.00,41.00,44.00,42.00,43.00
GLO,26,70,39.00,34.00,38.00,36.00,37.00
GLO,27,70,32.00,27.00,30.00,29.00,30.00
GPS,10,70,32.00,29.00,32.00,31.00,32.00
GPS,12,70,32.00,26.00,32.00,30.00,30.00
GPS,13,59,37.00,28.00,34.00,29.00,32.00
GPS,15,70,34.00,26.00,34.00,31.00,33.00
GPS,18,70,44.00,44.00,44.00,44.00,44.00
GPS,20,70,39.00,38.00,39.00,38.00,38.00
GPS,24,70,45.00,45.00,45.00,45.00,45.00
GPS,32,70,41.00,40.00,40.00,40.00,40.00
QZS,3,70,43.00,40.00,43.00,41.00,42.00
QZS,7,70,40.00,39.00,40.00,39.00,39.00
