system,sat_id,count,max,min,p75,p25,median
BDS,1,47,49.00,28.00,31.00,30.00,30.00
BDS,2,37,46.00,23.00,32.00,27.00,29.00
BDS,3,47,49.00,29.00,33.00,31.00,32.00
BDS,4,35,41.00,23.00,35.00,33.00,34.00
BDS,6,47,45.00,24.00,27.50,25.00,26.00
BDS,7,47,50.00,33.00,35.50,33.00,33.00
BDS,10,47,45.00,28.00,31.50,29.00,29.00
BDS,11,47,45.00,29.00,32.50,30.00,31.00
BDS,12,47,43.00,17.00,25.00,18.00,18.00
BDS,20,47,46.00,25.00,29.00,25.00,26.00
BDS,23,47,47.00,26.00,29.50,27.00,28.00
BDS,27,47,31.00,16.00,23.50,22.00,22.00
BDS,29,47,44.00,23.00,28.50,25.00,26.00
BDS,30,47,45.00,23.00,27.50,23.00,24.00
BDS,37,47,47.00,22.00,29.50,23.00,25.00
BDS,41,47,46.00,27.00,30.50,27.00,28.00
GAL,3,47,44.00,28.00,31.00,29.00,30.00
GAL,11,47,36.00,26.00,36.00,33.00,34.00
GAL,16,47,42.00,24.00,28.00,26.00,26.00
GAL,31,47,45.00,26.00,42.00,40.00,42.00
GAL,34,47,45.00,26.00,30.00,29.00,30.00
GAL,36,47,49.00,31.00,34.50,33.00,33.00
GLO,6,47,44.00,19.00,30.00,24.50,28.00
GLO,8,47,43.00,24.00,43.00,42.00,43.00
GLO,9,47,47.00,22.00,28.00,24.00,26.00
GLO,21,47,35.00,30.00,34.00,32.00,33.00
GLO,22,47,47.00,24.00,29.00,26.00,27.00
GLO,23,35,41.00,18.00,26.50,19.00,21.00
GLO,26,47,40.00,24.00,36.00,32.50,36.00
GLO,27,10,30.00,21.00,29.00,25.50,29.00
GPS,10,28,32.00,16.00,28.25,16.00,19.50
GPS,12,44,32.00,23.00,32.00,26.00,29.50
GPS,13,30,34.00,17.00,30.50,19.00,21.50
GPS,15,47,36.00,15.00,35.00,22.50,33.00
GPS,18,47,43.00,27.00,33.50,27.00,28.00
GPS,20,47,43.00,20.00,43.00,25.50,36.00
GPS,24,47,46.00,31.00,38.50,31.00,32.00
GPS,32,47,39.00,24.00,28.50,25.00,25.00
QZS,3,47,44.00,31.00,34.50,31.00,32.00
QZS,7,47,40.00,23.00,29.50,24.00,26.00
