system,sat_id,count,max,min,p75,p25,median
BDS,1,22,49.00,49.00,49.00,49.00,49.00
BDS,2,22,46.00,46.00,46.00,46.00,46.00
BDS,3,22,49.00,48.00,48.00,48.00,48.00
BDS,4,22,43.00,42.00,42.00,42.00,42.00
BDS,6,22,44.00,43.00,43.00,43.00,43.00
BDS,7,22,50.00,50.00,50.00,50.00,50.00
BDS,10,22,46.00,46.00,46.00,46.00,46.00
BDS,11,22,44.00,42.00,44.00,43.00,44.00
BDS,12,22,38.00,37.00,37.00,37.00,37.00
BDS,20,22,46.00,45.00,46.00,45.00,45.00
BDS,23,22,46.00,45.00,45.00,45.00,45.00
BDS,25,1,29.00,29.00,29.00,29.00,29.00
BDS,27,22,34.00,32.00,34.00,32.00,33.00
BDS,29,22,45.00,45.00,45.00,45.00,45.00
BDS,30,22,45.00,45.00,45.00,45.00,45.00
BDS,37,22,46.00,46.00,46.00,46.00,46.00
BDS,41,22,46.00,45.00,46.00,46.00,46.00
GAL,3,22,44.00,44.00,44.00,44.00,44.00
GAL,11,22,36.00,35.00,35.75,35.00,35.00
GAL,16,22,43.00,43.00,43.00,43.00,43.00
GAL,31,22,35.00,32.00,33.00,32.00,32.00
GAL,34,22,48.00,48.00,48.00,48.00,48.00
GAL,36,22,50.00,49.00,50.00,49.25,50.00
GLO,6,22,44.00,43.00,43.00,43.00,43.00
GLO,8,22,41.00,40.00,41.00,40.25,41.00
GLO,9,22,46.00,46.00,46.00,46.00,46.00
GLO,10,22,28.00,24.00,27.00,25.00,25.50
GLO,21,22,34.00,28.00,34.00,32.00,34.00
GLO,22,22,45.00,45.00,45.00,45.00,45.00
GLO,23,22,43.00,42.00,42.00,42.00,42.00
GLO,26,22,39.00,38.00,39.00,38.00,38.00
GLO,27,22,37.00,35.00,36.00,36.00,36.00
GPS,10,15,28.00,25.00,26.50,26.00,26.00
GPS,12,22,30.00,29.00,30.00,29.00,30.00
GPS,13,22,38.00,37.00,38.00,37.00,37.00
GPS,15,22,37.00,37.00,37.00,37.00,37.00
GPS,18,22,45.00,45.00,45.00,45.00,45.00
GPS,20,22,37.00,36.00,37.00,37.00,37.00
GPS,24,22,47.00,47.00,47.00,47.00,47.00
GPS,32,22,40.00,40.00,40.00,40.00,40.00
QZS,3,22,43.00,42.00,43.00,42.25,43.00
QZS,7,22,38.00,38.00,38.00,38.00,38.00
