system,sat_id,count,max,min,p75,p25,median
BDS,1,25,34.00,27.00,34.00,29.00,31.00
BDS,2,25,42.00,25.00,42.00,29.00,30.00
BDS,3,25,37.00,30.00,36.00,32.00,33.00
BDS,4,25,44.00,24.00,29.00,27.00,28.00
BDS,6,25,31.00,26.00,31.00,28.00,31.00
BDS,7,25,40.00,35.00,39.00,35.00,38.00
BDS,10,25,34.00,29.00,33.00,30.00,32.00
BDS,11,25,33.00,27.00,32.00,28.00,30.00
BDS,12,25,39.00,16.00,38.00,21.00,21.00
BDS,20,25,37.00,26.00,35.00,27.00,33.00
BDS,23,25,36.00,32.00,35.00,32.00,34.00
BDS,27,2,18.00,18.00,18.00,18.00,18.00
BDS,29,25,29.00,24.00,27.00,26.00,26.00
BDS,30,25,29.00,22.00,28.00,23.00,27.00
BDS,37,25,30.00,23.00,28.00,25.00,27.00
BDS,41,25,32.00,29.00,32.00,29.00,31.00
GAL,3,25,34.00,29.00,33.00,29.00,31.00
GAL,11,25,28.00,23.00,27.00,25.00,26.00
GAL,16,25,32.00,27.00,31.00,28.00,30.00
GAL,31,25,45.00,25.00,45.00,26.00,45.00
GAL,34,25,35.00,30.00,35.00,32.00,32.00
GAL,36,25,36.00,30.00,36.00,32.00,33.00
GLO,6,25,31.00,24.00,30.00,26.00,28.00
GLO,8,25,43.00,21.00,43.00,24.00,25.00
GLO,9,25,34.00,30.00,34.00,31.00,33.00
GLO,10,10,21.00,19.00,20.75,20.00,20.00
GLO,22,25,34.00,28.00,33.00,29.00,30.00
GLO,23,17,25.00,22.00,24.00,23.00,24.00
GLO,26,25,28.00,18.00,26.00,21.00,23.00
GLO,27,14,26.00,22.00,24.75,23.00,24.00
GPS,10,25,33.00,21.00,33.00,32.00,32.00
GPS,12,4,20.00,18.00,19.25,18.75,19.00
GPS,13,25,27.00,21.00,26.00,23.00,24.00
GPS,15,25,30.00,26.00,29.00,27.00,28.00
GPS,18,25,41.00,31.00,39.00,31.00,35.00
GPS,20,25,32.00,27.00,32.00,28.00,30.00
GPS,24,25,41.00,32.00,39.00,36.00,38.00
GPS,32,25,29.00,22.00,28.00,24.00,27.00
QZS,3,25,35.00,32.00,34.00,33.00,33.00
QZS,7,25,30.00,25.00,29.00,26.00,28.00
