system,sat_id,count,max,min,p75,p25,median
BDS,1,36,47.00,45.00,45.00,45.00,45.00
BDS,2,36,45.00,44.00,44.00,44.00,44.00
BDS,3,36,47.00,45.00,46.00,46.00,46.00
BDS,4,36,43.00,41.00,42.00,41.00,41.50
BDS,6,36,43.00,43.00,43.00,43.00,43.00
BDS,7,36,47.00,46.00,46.00,46.00,46.00
BDS,10,36,44.00,43.00,44.00,43.00,43.00
BDS,11,36,42.00,40.00,41.00,41.00,41.00
BDS,12,36,40.00,40.00,40.00,40.00,40.00
BDS,20,36,40.00,40.00,40.00,40.00,40.00
BDS,23,36,45.00,44.00,44.25,44.00,44.00
BDS,27,36,35.00,35.00,35.00,35.00,35.00
BDS,29,36,38.00,37.00,37.00,37.00,37.00
BDS,30,36,44.00,44.00,44.00,44.00,44.00
BDS,32,36,34.00,32.00,34.00,33.00,33.00
BDS,37,36,44.00,43.00,44.00,43.00,44.00
BDS,41,36,43.00,43.00,43.00,43.00,43.00
GAL,3,36,44.00,43.00,44.00,44.00,44.00
GAL,11,36,35.00,32.00,34.00,34.00,34.00
GAL,16,36,35.00,33.00,35.00,34.00,35.00
GAL,31,36,39.00,39.00,39.00,39.00,39.00
GAL,34,36,43.00,42.00,42.00,42.00,42.00
GAL,36,36,46.00,46.00,46.00,46.00,46.00
GLO,6,36,41.00,40.00,40.00,40.00,40.00
GLO,8,36,36.00,33.00,35.00,34.00,34.00
GLO,9,36,46.00,44.00,45.00,45.00,45.00
GLO,10,36,43.00,43.00,43.00,43.00,43.00
GLO,21,36,28.00,22.00,26.00,22.75,23.50
GLO,22,36,45.00,44.00,45.00,45.00,45.00
GLO,23,36,44.00,42.00,43.00,42.00,43.00
GLO,26,36,37.00,35.00,37.00,36.00,36.00
GLO,27,36,37.00,33.00,35.00,34.00,35.00
GPS,10,25,32.00,23.00,32.00,32.00,32.00
GPS,12,36,26.00,22.00,26.00,24.00,25.00
GPS,13,36,41.00,40.00,40.00,40.00,40.00
GPS,15,36,40.00,39.00,40.00,39.00,40.00
GPS,18,36,45.00,45.00,45.00,45.00,45.00
GPS,20,36,40.00,37.00,38.25,37.00,37.50
GPS,24,36,43.00,43.00,43.00,43.00,43.00
GPS,32,36,40.00,39.00,39.00,39.00,39.00
QZS,2,36,33.00,32.00,32.00,32.00,32.00
QZS,3,36,41.00,40.00,41.00,41.00,41.00
QZS,7,36,38.00,37.00,38.00,37.75,38.00
