svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,1500,46.75,33.5,45.25,46.0,45.75,45.296166666666664
BDS14,BDS,3236,43.0,20.0,33.0,41.75,34.5,36.680237948084056
BDS2,BDS,2976,46.75,28.0,40.75,46.0,44.25,43.01747311827957
BDS21,BDS,4652,50.75,24.0,39.5,44.75,43.75,41.761016766981946
BDS22,BDS,1987,45.5,18.0,30.0,43.75,43.25,37.920483140412685
BDS3,BDS,3088,47.5,27.25,39.75,46.0,40.5,42.514086787564764
BDS34,BDS,4331,45.5,16.75,30.25,36.0,33.5,32.89286538905564
BDS35,BDS,4649,48.5,20.5,33.5,44.75,42.0,39.39115938911594
BDS4,BDS,3098,46.75,29.5,44.75,45.5,45.25,44.75919948353776
BDS6,BDS,3236,47.5,30.5,45.0,45.75,45.5,45.04125463535229
BDS7,BDS,1372,46.0,31.5,44.75,45.5,45.25,43.80885568513119
BDS8,BDS,3248,45.25,22.25,31.4375,43.75,42.5,37.41102216748769
BDS9,BDS,4714,48.0,23.5,36.5,46.5,38.0,39.67570004242681
GAL10,GAL,3793,47.25,20.5,34.0,46.25,38.0,38.899485895069866
GAL11,GAL,4621,49.25,21.25,32.75,45.25,43.25,39.68399697035274
GAL18,GAL,4714,48.0,20.75,38.75,44.25,39.75,40.41811624946966
GAL194,GAL,1630,40.0,22.25,33.0,35.0,34.75,33.992638036809815
GAL36,GAL,4194,44.0,22.25,34.75,42.0,40.0,38.35753457319981
GAL5,GAL,3009,48.75,30.5,43.25,46.75,44.75,44.64356929212363
GAL6,GAL,4704,48.75,24.0,41.0,46.75,45.0,43.56691113945578
GAL9,GAL,4715,49.75,19.25,43.0,47.5,45.0,44.73589607635207
GLO42,GLO,1630,43.25,18.25,31.0,37.25,34.25,33.999386503067484
GLO76,GLO,3040,42.0,22.75,35.75,40.0,38.5,37.59399671052632
GLO82,GLO,3260,45.0,22.75,38.75,42.25,41.0,40.14079754601227
GLO96,GLO,3260,47.75,35.25,42.5,44.75,43.25,43.39302147239264
GLO97,GLO,1630,45.25,30.25,42.75,44.5,43.75,42.366257668711654
GLO98,GLO,2736,45.0,18.5,32.75,42.75,41.5,37.6172331871345
GPS11,GPS,4536,46.5,16.0,40.5,44.75,42.5,39.55737433862434
GPS15,GPS,3073,48.5,24.25,42.75,46.5,44.0,44.124308493328996
GPS20,GPS,3654,48.25,15.5,41.25,42.5,41.75,41.95128626163109
GPS21,GPS,558,46.5,45.0,45.5,46.25,46.0,45.91308243727599
GPS29,GPS,3068,49.25,19.0,34.0,45.0,36.25,38.03968383311604
GPS30,GPS,917,34.25,19.25,26.0,33.0,31.0,29.402944383860415
GPS38,GPS,1630,35.75,21.5,30.25,32.5,31.5,31.459509202453987
GPS5,GPS,1443,45.0,38.0,42.25,43.25,42.75,42.68641718641719
GPS6,GPS,1062,43.25,17.0,40.5,42.25,41.625,38.550141242937855
QZS192,QZS,1630,48.75,20.0,46.0,47.75,47.5,45.94386503067485
QZS385,QZS,2445,38.0,21.0,32.75,34.5,33.75,33.710327198364006
QZS386,QZS,4524,46.25,16.75,34.5,44.75,42.25,39.66710875331565
QZS390,QZS,4527,50.5,16.5,38.75,46.5,45.25,42.94681908548708
