label,n,std_psr_median,std_psr_mean,std_psr_p25,std_psr_p75,std_adr_median,std_adr_mean,locktime_median,locktime_p25,doppler_std,cno_median
无干扰 #1,4010,0.253,0.262743391521197,0.253,0.253,0.001953125,0.0021172654301745636,496.28125,25.640625,1712.17523819363,42.0
409MHz 干扰,2842,0.253,0.2811284306826179,0.253,0.253,0.001953125,0.0022493237596762842,530.59375,0.875,1854.3270050278372,36.0
无干扰 #2,3976,0.253,0.26290090543259564,0.253,0.253,0.001953125,0.0020936163858148896,20.375,14.0,1747.2769204017297,42.0
392MHz 干扰,3186,0.253,0.2655564971751413,0.253,0.253,0.001953125,0.0021223222693032015,21.09375,8.875,1767.5524613939292,42.0
无干扰 #3,4028,0.253,0.2626263654419067,0.253,0.253,0.001953125,0.0020990759992552135,19.375,13.0,1756.088039417801,42.0
4G/5G 干扰,3994,0.253,0.2613925888833251,0.253,0.253,0.001953125,0.0020382135703555333,54.28125,43.546875,1747.5085160540589,42.0
无干扰 #4,4014,0.253,0.2538863976083708,0.253,0.253,0.001953125,0.0020256251557050323,90.4375,35.1171875,1731.270067463606,42.0
Wi-Fi 干扰,4063,0.253,0.25714915087373863,0.253,0.253,0.001953125,0.0020459020428254984,127.875,60.1875,1689.9932570176284,42.0
无干扰 #5,4081,0.253,0.2553898554275913,0.253,0.253,0.001953125,0.002032092318059299,165.0,59.59375,1703.0927749906439,42.0
