svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,3130,46.75,28.0,45.5,46.0,45.75,45.279632587859425
BDS14,BDS,3236,43.0,24.25,38.5,41.75,40.75,39.57339307787392
BDS2,BDS,2976,43.5,27.25,39.5,40.75,40.0,39.93481182795699
BDS21,BDS,4652,50.75,24.0,43.5,44.75,44.0,43.33286758383491
BDS22,BDS,1987,34.0,16.75,25.0,30.75,28.0,27.65135883241067
BDS3,BDS,3088,47.5,29.5,45.0,46.0,45.5,45.23842292746114
BDS34,BDS,4331,40.5,20.5,32.25,35.75,34.0,33.775975525282846
BDS35,BDS,4649,48.5,22.0,41.5,44.75,43.5,42.43579264357926
BDS4,BDS,3098,46.5,30.5,45.0,45.75,45.25,44.86539703034216
BDS6,BDS,3236,47.5,30.25,44.5,45.5,45.25,44.15930160692213
BDS7,BDS,1372,33.0,22.25,28.75,31.75,30.75,29.896501457725947
BDS8,BDS,3248,48.0,32.25,43.5,47.25,44.5,44.44943041871921
BDS9,BDS,4714,40.0,20.0,33.0,37.5,36.0,35.0
GAL10,GAL,3793,40.5,21.25,30.5,36.0,32.75,33.26173213814922
GAL11,GAL,4621,49.25,20.75,39.75,45.25,43.25,42.0016230253192
GAL18,GAL,4714,48.0,22.25,38.75,44.0,41.0,40.9795820958846
GAL36,GAL,4194,42.75,22.25,33.75,39.25,35.0,35.90939437291369
GAL5,GAL,4639,48.75,24.0,41.25,46.0,43.25,43.02457426169433
GAL6,GAL,4704,48.75,19.25,43.0,46.75,45.0,44.23618197278912
GAL9,GAL,4715,49.75,20.5,45.5,47.5,46.25,45.85917285259809
GLO75,GLO,1630,42.0,33.25,39.25,40.5,40.0,39.73819018404908
GLO76,GLO,3040,45.0,22.75,35.25,42.25,37.75,38.22269736842105
GLO82,GLO,3260,47.75,28.75,39.0,44.75,41.25,41.53650306748466
GLO96,GLO,3260,45.25,30.25,42.75,44.25,43.25,42.72507668711656
GLO97,GLO,1630,45.0,23.75,42.25,43.0,42.5,42.20414110429448
GLO98,GLO,2736,38.5,18.25,30.0,36.25,33.25,32.729166666666664
GPS11,GPS,4536,48.5,21.0,42.75,46.25,45.0,44.2405753968254
GPS15,GPS,3073,47.25,17.75,42.0,43.0,42.5,42.431581516433454
GPS20,GPS,3654,49.25,15.5,41.25,46.0,42.75,43.26772030651341
GPS21,GPS,558,36.75,31.5,33.0,35.25,34.5,34.176971326164875
GPS29,GPS,3068,38.0,21.5,31.5,35.25,33.5,33.28968383311604
GPS30,GPS,917,33.0,19.25,26.0,31.5,29.75,28.56352235550709
GPS5,GPS,3073,45.0,18.25,41.5,42.75,42.25,41.92002928734136
GPS6,GPS,1062,31.5,16.0,22.5,26.75,24.25,24.51553672316384
QZS385,QZS,4075,38.0,16.75,32.25,34.75,33.5,33.27846625766871
QZS386,QZS,4524,49.25,21.0,42.5,46.5,45.0,44.27812776304155
QZS390,QZS,4527,50.5,16.5,38.75,47.0,45.25,43.13242765628451
