sys,n,fisher_z_avg_r,r_median,r_mean,n_strong,n_moderate,n_weak
BDS,13,0.3047900704498355,0.13263080001160557,0.2612694906547572,1,3,9
GAL,8,0.23395394177628404,0.241383995457391,0.22853800102540445,0,1,7
GLO,5,0.4873192399284583,0.1716142552413454,0.31085729669022844,1,0,4
GPS,9,0.1598770874161834,0.28655011750741805,0.1555053560097984,0,1,8
QZS,4,0.3422607833204571,0.10252487743289944,0.2660548301751218,1,0,3
