interf_seg,delta_median,delta_p25,delta_p75,n_lost,pll_change_pct,etsi_pass
409MHz 干扰,-4.25,-8.625,0.125,2,0.0,False
392MHz 干扰,-0.9375,-1.9375,0.21875,1,0.0,True
4G/5G 干扰,0.25,-0.25,0.5,0,0.0,True
Wi-Fi 干扰,0.125,-0.375,0.375,0,0.0,True
