interf_seg,svid,sys,track_gap_sec,rc_gap_sec
409MHz 干扰,GAL10,GAL,10.0,10.0
409MHz 干扰,GLO98,GLO,6.404999999998836,6.404999999998836
392MHz 干扰,GPS6,GPS,10.0,10.0
