svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,3199,48.25,30.75,46.25,47.25,46.75,45.75570490778368
BDS14,BDS,3276,41.5,25.75,38.25,40.0,39.25,38.11240842490842
BDS2,BDS,2942,42.75,26.5,37.75,39.25,38.5,37.99524133242692
BDS21,BDS,6309,51.0,26.75,43.75,45.5,44.5,43.79073545728325
BDS22,BDS,2507,35.0,14.0,23.75,29.75,26.75,26.302852014359793
BDS3,BDS,3058,47.0,34.0,44.0,46.0,45.0,44.50089928057554
BDS34,BDS,5906,40.25,21.25,33.25,36.75,35.5,34.641127666779546
BDS35,BDS,6369,48.25,25.0,41.5,44.25,43.25,42.482140053383574
BDS4,BDS,3100,47.0,29.25,44.0,45.0,44.5,43.851048387096775
BDS6,BDS,3276,48.0,34.0,45.5,47.25,46.0,45.04876373626374
BDS7,BDS,1475,30.75,16.25,24.25,28.75,26.0,26.221186440677965
BDS8,BDS,3276,46.5,32.25,45.0,45.75,45.5,44.21817765567766
BDS9,BDS,4773,40.5,23.0,35.5,38.25,37.25,36.467735177037504
GAL10,GAL,3620,42.5,17.25,31.25,36.5,33.75,33.713259668508286
GAL11,GAL,6315,47.75,23.0,41.75,44.75,42.5,42.58210609659541
GAL18,GAL,4737,46.25,25.0,38.0,43.25,40.75,40.166877770740975
GAL34,GAL,5427,39.75,20.0,32.25,36.0,34.0,33.85272710521467
GAL36,GAL,5740,43.0,15.75,33.5,37.0,34.75,35.16158536585366
GAL5,GAL,6372,50.25,21.0,43.25,47.5,45.75,45.01432046453233
GAL6,GAL,6376,48.0,27.25,43.25,46.75,45.75,44.37280426599749
GAL9,GAL,6376,50.75,18.5,45.9375,48.25,46.75,46.395036072772896
GLO75,GLO,1638,45.0,31.75,41.0,43.0,42.0,41.487637362637365
GLO76,GLO,2981,43.75,17.0,35.25,40.75,38.0,37.38577658503858
GLO80,GLO,3083,40.75,20.5,33.5,37.0,35.25,34.66088225754135
GLO81,GLO,114,31.25,19.75,23.75,28.0,25.5,25.56140350877193
GLO82,GLO,3276,47.5,23.25,39.5,45.0,42.75,41.21863553113553
GLO96,GLO,3276,47.75,31.75,43.5,46.25,44.25,43.910103785103786
GLO97,GLO,1638,46.0,32.5,44.5,45.5,45.25,43.91346153846154
GPS11,GPS,4550,50.0,17.25,44.5,47.0,45.0,45.11675824175824
GPS15,GPS,3088,46.25,18.5,41.5,44.75,42.75,42.90309261658031
GPS20,GPS,3647,48.0,18.0,43.75,46.5,44.75,44.532561009048536
GPS21,GPS,584,36.5,29.75,32.5,34.75,33.0,33.41010273972603
GPS29,GPS,3086,38.75,20.25,32.75,35.75,34.5,34.175064808814
GPS30,GPS,1161,35.0,18.0,27.25,30.75,29.25,28.676787252368648
GPS5,GPS,3085,47.5,22.25,42.5,45.5,44.0,43.842463533225285
GPS6,GPS,382,32.25,14.5,24.75,29.0,26.75,26.340968586387433
QZS385,QZS,3846,37.25,18.0,28.25,33.25,31.25,30.587948517940717
QZS386,QZS,4550,48.5,19.5,43.25,46.0,44.25,44.33565934065934
QZS390,QZS,4558,49.5,16.0,39.0,47.25,44.0,42.69153137340939
