interf_seg,delta_median,delta_p25,delta_p75,n_lost,pll_change_pct,etsi_pass
409MHz 干扰,-2.6875,-4.25,-0.34375,2,0.0,False
392MHz 干扰,-5.625,-8.75,-3.125,3,0.0,False
4G/5G 干扰,-0.25,-0.84375,0.25,0,0.0,True
Wi-Fi 干扰,-0.1875,-0.5625,0.25,0,0.0,True
