sys,n,fisher_z_avg_r,r_median,r_mean,n_strong,n_moderate,n_weak
BDS,14,0.3232715386571848,0.22827342406219192,0.2789739399405328,1,2,11
GAL,10,0.20304766150906625,0.25574589681100657,0.199482845472488,0,0,10
GLO,6,0.6305765388259508,0.5353720769590755,0.536060671187975,3,0,3
GPS,9,0.43644504865547656,0.2155794289649185,0.3816447043720901,2,2,5
QZS,4,0.41533033444895745,0.14300049579175533,0.2929208204332339,1,0,3
