baseline_seg,interf_seg,n_lost,n_gained,lost_svids,gained_svids,lost_durations,min_loss_sec
无干扰 #1,409MHz 干扰,20,1,"BDS1,BDS19,BDS2,GAL12,GAL28,GAL36,GAL4,GLO41,GLO81,GLO82,GLO95,GLO96,GLO97,GPS29,GPS30,GPS44,GPS5,GPS6,QZS386,QZS390",GPS4,"10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.9,10.0,10.0,10.0,5.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0",3.0
无干扰 #2,392MHz 干扰,38,2,"BDS1,BDS14,BDS19,BDS2,BDS21,BDS22,BDS3,BDS34,BDS35,BDS4,BDS6,BDS8,BDS9,GAL10,GAL12,GAL18,GAL195,GAL28,GAL4,GAL6,GAL9,GLO41,GLO81,GLO82,GLO95,GLO96,GLO97,GPS11,GPS15,GPS20,GPS29,GPS30,GPS44,GPS5,GPS6,QZS192,QZS386,QZS390","GLO38,GLO39","10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.8,10.0,10.0",3.0
无干扰 #3,4G/5G 干扰,0,0,,,,3.0
无干扰 #4,Wi-Fi 干扰,0,1,,GAL36,,3.0
