segment,band,n,std_psr_median,std_psr_mean,std_adr_median,cno_median,locktime_median
无干扰 #1,B1,650,0.253,0.2567723076923077,0.001953125,45.0,129.875
无干扰 #1,B2,183,0.253,0.2578579234972678,0.001953125,44.0,128.0
无干扰 #1,B3,589,0.253,0.25665025466893043,0.001953125,44.0,129.5
无干扰 #1,E1,450,0.253,0.24646888888888896,0.001953125,44.0,130.78125
无干扰 #1,E5a,450,0.253,0.26711111111111113,0.001953125,42.0,130.5
无干扰 #1,E5b,446,0.169,0.2059147982062781,0.001953125,48.0,129.9375
无干扰 #1,L1,686,0.253,0.26225655976676393,0.001953125,43.0,129.59375
无干扰 #1,L2,600,0.253,0.25300000000000006,0.001953125,43.0,130.59375
无干扰 #1,L5,200,0.253,0.28411500000000006,0.001953125,46.5,130.1875
409MHz 干扰,B1,581,0.253,0.2550843373493976,0.001953125,45.0,175.09375
409MHz 干扰,B2,137,0.253,0.25300000000000006,0.001953125,37.0,10.28125
409MHz 干扰,B3,412,0.253,0.2782766990291263,0.001953125,35.5,3.546875
409MHz 干扰,E1,450,0.253,0.2436466666666667,0.001953125,43.5,175.1875
409MHz 干扰,E5a,400,0.253,0.25300000000000006,0.001953125,38.0,173.875
409MHz 干扰,E5b,380,0.169,0.2049289473684211,0.001953125,48.0,172.59375
409MHz 干扰,L1,691,0.253,0.26972503617945015,0.001953125,42.0,173.875
409MHz 干扰,L2,200,0.3165,0.3222,0.0029296875,30.0,0.1875
409MHz 干扰,L5,150,0.253,0.25300000000000006,0.001953125,42.0,176.234375
无干扰 #2,B1,600,0.253,0.2604466666666667,0.001953125,44.0,224.875
无干扰 #2,B2,200,0.253,0.25300000000000006,0.001953125,41.0,24.59375
无干扰 #2,B3,550,0.253,0.24551636363636367,0.001953125,44.0,26.1875
无干扰 #2,E1,450,0.253,0.2501377777777778,0.001953125,45.0,225.1875
无干扰 #2,E5a,400,0.253,0.25300000000000006,0.001953125,43.0,135.375
无干扰 #2,E5b,400,0.169,0.20071000000000006,0.001953125,48.0,148.25
无干扰 #2,L1,700,0.253,0.2711428571428572,0.001953125,42.5,223.78125
无干扰 #2,L2,631,0.253,0.27291600633914426,0.001953125,43.0,23.5
无干扰 #2,L5,231,0.253,0.27004329004329014,0.001953125,46.0,223.59375
392MHz 干扰,B1,500,0.253,0.31142000000000003,0.001953125,32.0,0.28125
392MHz 干扰,B2,50,0.38,0.37999999999999995,0.00390625,25.0,0.0
