svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,2193,48.0,28.5,46.5,47.25,47.0,45.542749658002734
BDS14,BDS,4394,39.5,22.25,35.5,37.75,37.0,35.74812243969048
BDS2,BDS,3691,48.5,24.5,33.0,47.75,45.25,40.80005418585749
BDS21,BDS,6441,48.25,25.25,39.75,45.25,44.5,42.17392485638876
BDS22,BDS,1173,44.0,20.5,30.5,43.5,35.25,36.6114663256607
BDS3,BDS,4381,49.0,23.25,36.25,47.75,37.75,41.20109564026478
BDS34,BDS,5868,45.0,18.25,34.5,42.0,38.0,37.27982276755283
BDS35,BDS,6426,47.25,22.0,35.0,44.0,42.25,39.73015873015873
BDS4,BDS,4365,48.5,28.5,44.75,45.5,45.0,44.20618556701031
BDS42,BDS,1340,45.0,20.5,27.5,44.0,42.5,36.46268656716418
BDS6,BDS,4444,48.0,27.5,45.5,47.0,46.25,45.233573357335736
BDS7,BDS,1164,46.75,45.75,46.0,46.5,46.25,46.24699312714777
BDS8,BDS,4444,47.75,19.75,33.75,47.0,46.5,41.2029702970297
BDS9,BDS,6666,46.5,22.75,38.0,45.5,39.25,39.98679867986799
GAL10,GAL,6443,50.0,23.5,43.25,48.75,44.0,44.910988669874286
GAL11,GAL,6430,49.0,21.0,43.5,46.5,44.75,44.526477449455676
GAL12,GAL,6308,46.25,18.75,36.75,43.25,40.75,39.77338300570704
GAL18,GAL,6451,50.0,24.0,35.5,48.75,47.75,43.21725313904821
GAL194,GAL,2193,46.5,21.0,33.25,36.25,34.75,34.58150934792522
GAL195,GAL,29,34.0,31.0,31.75,32.25,32.0,32.08620689655172
GAL28,GAL,2148,47.0,20.5,33.0,45.5,36.25,38.899441340782126
GAL36,GAL,6146,47.5,18.75,33.75,43.0,39.75,38.38378620240807
GAL4,GAL,4226,49.75,33.25,45.75,48.5,46.75,46.658424041646946
GAL6,GAL,6447,50.0,26.25,42.75,48.5,45.25,45.06580580114782
GAL9,GAL,6447,49.75,24.0,45.75,48.25,47.25,46.46044671940437
GLO41,GLO,2222,45.0,17.0,37.5,40.5,39.0,37.97783528352835
GLO81,GLO,3213,46.0,22.25,35.5,41.0,38.25,38.45222533457827
GLO82,GLO,4234,47.0,25.25,39.75,42.25,41.25,41.17324043457723
GLO95,GLO,4222,46.75,17.5,42.0,43.75,42.75,42.12991473235434
GLO96,GLO,4444,46.5,19.75,41.0,45.5,43.5,42.38169441944194
GLO97,GLO,2190,45.0,32.25,43.25,44.25,43.75,42.94931506849315
GPS11,GPS,6235,47.0,18.25,42.25,45.0,44.0,43.32738572574178
GPS15,GPS,4227,47.0,24.75,44.0,46.0,45.25,44.482197776200614
GPS20,GPS,4226,46.75,18.0,39.5,45.5,42.25,42.390085186938
GPS21,GPS,1533,48.25,46.25,47.25,47.75,47.5,47.42710371819961
GPS29,GPS,4233,47.25,17.5,35.5,41.75,37.25,37.576600519725964
GPS30,GPS,4814,41.75,15.5,31.0,35.75,34.25,33.178334025758204
GPS38,GPS,1183,39.75,24.5,31.25,36.5,32.75,33.509721048182584
GPS44,GPS,1039,37.75,15.0,25.0,29.375,27.0,26.952358036573628
GPS5,GPS,2010,47.75,35.5,44.75,46.5,45.75,44.97960199004975
QZS192,QZS,2222,50.25,20.75,46.75,47.25,47.0,46.347772277227726
QZS385,QZS,3313,36.0,12.75,27.5,34.25,32.0,30.30357681859342
QZS386,QZS,6230,47.5,19.0,35.0,44.75,44.25,40.23900481540931
QZS390,QZS,6241,50.75,15.25,39.0,46.5,43.75,42.53641243390482
