segment,n_pairs,median_diff,wilcoxon_z,wilcoxon_p,significant
无干扰 #1,37,-1.25,-1.6582588539584902,0.0972652301532817,False
409MHz 干扰,36,-2.375,-2.744979669859406,0.006051464641732007,True
无干扰 #2,38,-0.75,-0.9587000791017773,0.33770985861303293,False
392MHz 干扰,35,-0.125,1.4332711417652317,0.15178036570329212,False
无干扰 #3,38,-1.75,-3.5327439687062734,0.0004112705589678356,True
4G/5G 干扰,39,-1.5,-4.0334887370933,5.4954815868590856e-05,True
无干扰 #4,39,-1.0,-3.6600425676239134,0.00025217335271121577,True
Wi-Fi 干扰,40,-1.25,-2.541467227768927,0.011038829433843933,True
无干扰 #5,41,-1.125,-3.953170093449284,7.712257234793185e-05,True
