interf_seg,delta_median,delta_p25,delta_p75,n_lost,pll_change_pct,etsi_pass
409MHz 干扰,-1.0,-4.0,1.0,4,0.0,True
392MHz 干扰,-8.5,-12.0,-4.0,5,0.0,False
4G/5G 干扰,-0.25,-0.96875,0.4375,1,0.0,True
Wi-Fi 干扰,0.0,-0.75,0.6875,0,0.0,True
