svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,1785,47.75,22.75,46.0,46.75,46.5,45.41638655462185
BDS14,BDS,4128,43.0,15.75,33.5,41.0,34.5,35.56377180232558
BDS2,BDS,3443,47.25,23.0,38.25,45.75,45.25,42.24368283473715
BDS21,BDS,5876,47.75,15.75,38.25,45.25,41.75,40.6127042205582
BDS22,BDS,4347,47.0,14.75,34.5,43.25,42.25,38.91954221302047
BDS3,BDS,3797,45.75,22.25,37.5,44.5,38.5,40.31590729523308
BDS34,BDS,5032,46.25,15.0,31.75,35.75,34.5,34.075566375198726
BDS35,BDS,5922,49.75,16.0,31.75,46.0,44.5,39.63825565687268
BDS4,BDS,3811,46.25,22.75,43.25,44.25,43.75,43.01095512988717
BDS6,BDS,4209,48.0,22.5,42.75,46.75,43.5,43.2956165359943
BDS8,BDS,4199,45.5,17.0,43.25,44.5,44.0,41.865265539414146
BDS9,BDS,5840,46.5,16.25,36.0,44.75,37.75,38.62765410958904
GAL10,GAL,6018,48.75,25.0,43.75,45.75,44.5,43.57132768361582
GAL12,GAL,5634,46.25,21.5,38.25,44.25,42.5,41.08231274405396
GAL18,GAL,6079,48.5,20.25,41.25,46.75,44.5,43.108776114492514
GAL194,GAL,1982,44.25,20.5,38.75,42.25,41.25,39.695383451059534
GAL195,GAL,123,35.5,21.75,26.75,28.75,28.0,28.038617886178862
GAL28,GAL,5944,47.75,23.5,42.75,44.75,44.25,42.7896197846568
GAL4,GAL,3866,47.75,27.75,44.25,46.75,45.25,44.82061562338334
GAL6,GAL,5875,48.0,23.0,43.0,44.75,44.0,42.91710638297872
GAL9,GAL,6075,48.0,21.0,44.25,46.25,45.0,43.57325102880658
GLO41,GLO,2105,43.5,30.5,36.5,38.75,37.5,37.84061757719715
GLO81,GLO,1892,47.75,26.5,45.0,46.5,46.0,45.65208773784355
GLO82,GLO,3997,45.75,18.5,40.75,43.75,42.75,41.58962972229172
GLO95,GLO,4010,45.25,22.5,42.0,43.75,43.0,42.01496259351621
GLO96,GLO,4168,46.5,16.5,42.75,45.25,43.75,42.739443378119
GLO97,GLO,1890,43.5,28.0,41.25,42.25,41.75,40.66005291005291
GPS11,GPS,5901,46.5,14.5,32.25,44.5,41.25,38.634087442806305
GPS15,GPS,3993,47.5,24.0,43.25,45.75,44.5,43.375469571750564
GPS20,GPS,4336,44.75,19.25,39.75,43.5,42.25,41.01083948339483
GPS29,GPS,3955,46.75,10.75,35.0,42.25,38.75,38.379646017699116
GPS30,GPS,2039,38.75,16.0,29.75,32.75,31.75,30.95586071603727
GPS44,GPS,2105,36.0,16.0,26.0,31.75,29.25,28.510570071258908
GPS5,GPS,1888,45.75,25.5,44.25,44.75,44.5,42.85434322033898
GPS6,GPS,5041,44.0,16.5,30.75,38.75,36.0,34.45809363221583
QZS192,QZS,2081,49.75,20.5,45.0,46.5,46.0,44.3730177799135
QZS193,QZS,5,41.25,41.25,41.25,41.25,41.25,41.25
QZS194,QZS,17,41.5,41.25,41.25,41.5,41.25,41.338235294117645
QZS385,QZS,3312,36.0,18.5,32.0,34.5,33.25,32.48044987922705
QZS386,QZS,5756,44.25,17.0,32.25,42.75,41.5,38.10219770674079
QZS390,QZS,5876,46.75,16.5,37.5,44.75,40.75,40.249744724302246
