segment,svid,sys,n,std_psr_median,std_psr_max,std_adr_median,locktime_median,cno_median
409MHz 干扰,GPS29,GPS,50,0.253,0.38,0.001953125,15.390625,35.5
409MHz 干扰,GPS5,GPS,50,0.253,0.253,0.001953125,569.6875,45.0
409MHz 干扰,QZS194,QZS,50,0.38,0.38,0.00390625,1.78125,30.0
409MHz 干扰,QZS195,QZS,100,0.253,0.253,0.001953125,568.4375,41.5
409MHz 干扰,QZS199,QZS,100,0.253,0.253,0.001953125,347.53125,37.5
无干扰 #2,BDS1,BDS,100,0.253,0.253,0.001953125,323.9375,45.0
无干扰 #2,BDS14,BDS,100,0.253,0.253,0.001953125,324.78125,40.5
无干扰 #2,BDS2,BDS,93,0.253,0.253,0.001953125,234.5,38.0
无干扰 #2,BDS21,BDS,150,0.253,0.253,0.001953125,32.328125,45.0
无干扰 #2,BDS22,BDS,100,0.38,0.38,0.00390625,0.234375,26.5
无干扰 #2,BDS3,BDS,100,0.253,0.253,0.001953125,323.6875,44.5
无干扰 #2,BDS34,BDS,150,0.253,0.253,0.001953125,16.984375,36.0
无干扰 #2,BDS35,BDS,150,0.253,0.253,0.001953125,31.890625,44.0
无干扰 #2,BDS4,BDS,100,0.253,0.253,0.001953125,323.6875,42.0
无干扰 #2,BDS42,BDS,73,0.38,0.57,0.001953125,2.6875,31.0
无干扰 #2,BDS6,BDS,100,0.21100000000000002,0.253,0.001953125,324.9375,45.5
无干扰 #2,BDS8,BDS,100,0.253,0.253,0.001953125,664.34375,45.0
无干扰 #2,BDS9,BDS,150,0.253,0.253,0.001953125,29.234375,36.0
无干扰 #2,GAL10,GAL,150,0.253,0.253,0.001953125,619.09375,45.0
无干扰 #2,GAL11,GAL,150,0.253,0.253,0.001953125,30.875,43.0
无干扰 #2,GAL12,GAL,150,0.253,0.253,0.001953125,30.6875,37.0
无干扰 #2,GAL18,GAL,150,0.253,0.253,0.001953125,619.28125,45.0
无干扰 #2,GAL28,GAL,83,0.38,0.38,0.00390625,0.0,28.0
无干扰 #2,GAL36,GAL,142,0.253,0.253,0.001953125,27.28125,37.0
无干扰 #2,GAL4,GAL,150,0.253,0.253,0.001953125,616.640625,45.0
无干扰 #2,GAL6,GAL,150,0.253,0.253,0.001953125,72.390625,45.0
无干扰 #2,GAL9,GAL,150,0.253,0.253,0.001953125,619.140625,44.5
无干扰 #2,GLO81,GLO,100,0.253,0.253,0.001953125,324.53125,44.0
无干扰 #2,GLO82,GLO,100,0.253,0.253,0.001953125,32.375,41.0
无干扰 #2,GLO95,GLO,100,0.253,0.253,0.001953125,323.375,42.0
无干扰 #2,GLO96,GLO,100,0.253,0.253,0.001953125,325.078125,44.0
无干扰 #2,GLO97,GLO,50,0.253,0.253,0.001953125,161.390625,41.0
无干扰 #2,GPS11,GPS,150,0.253,0.253,0.001953125,615.890625,45.0
无干扰 #2,GPS15,GPS,100,0.253,0.253,0.001953125,323.09375,42.0
无干扰 #2,GPS20,GPS,100,0.253,0.253,0.001953125,323.828125,42.0
无干扰 #2,GPS21,GPS,40,0.253,0.253,0.001953125,6.28125,34.0
无干扰 #2,GPS29,GPS,100,0.253,0.253,0.001953125,21.4375,34.5
无干扰 #2,GPS5,GPS,100,0.253,0.253,0.001953125,323.234375,42.0
无干扰 #2,QZS194,QZS,150,0.253,0.38,0.001953125,2.234375,32.5
无干扰 #2,QZS195,QZS,150,0.253,0.253,0.001953125,615.9375,44.0
无干扰 #2,QZS199,QZS,150,0.253,0.253,0.001953125,177.890625,41.0
392MHz 干扰,BDS1,BDS,100,0.253,0.38,0.001953125,37.640625,40.0
392MHz 干扰,BDS14,BDS,100,0.253,0.38,0.001953125,1.875,33.0
392MHz 干扰,BDS2,BDS,53,0.38,0.38,0.00390625,0.0,29.0
392MHz 干扰,BDS21,BDS,100,0.253,0.38,0.001953125,42.328125,35.0
392MHz 干扰,BDS3,BDS,100,0.253,0.253,0.001953125,0.640625,37.0
392MHz 干扰,BDS34,BDS,100,0.38,0.38,0.00390625,0.0,26.0
392MHz 干扰,BDS35,BDS,100,0.253,0.253,0.001953125,8.84375,33.5
392MHz 干扰,BDS4,BDS,88,0.253,0.38,0.001953125,0.09375,34.0
392MHz 干扰,BDS6,BDS,100,0.253,0.253,0.001953125,50.984375,36.0
392MHz 干扰,BDS8,BDS,100,0.253,0.253,0.001953125,381.296875,37.5
392MHz 干扰,BDS9,BDS,150,0.38,0.38,0.00390625,0.375,28.0
392MHz 干扰,GAL10,GAL,100,0.253,0.253,0.001953125,5.796875,39.0
392MHz 干扰,GAL11,GAL,51,0.253,0.253,0.001953125,4.875,39.0
392MHz 干扰,GAL12,GAL,50,0.253,0.38,0.001953125,0.0,31.0
392MHz 干扰,GAL18,GAL,100,0.253,0.253,0.001953125,1.734375,37.0
392MHz 干扰,GAL36,GAL,50,0.253,0.38,0.001953125,0.1875,33.0
392MHz 干扰,GAL4,GAL,100,0.253,0.253,0.001953125,10.4375,39.0
392MHz 干扰,GAL6,GAL,100,0.253,0.38,0.001953125,10.328125,39.0
392MHz 干扰,GAL9,GAL,79,0.253,0.253,0.001953125,2.09375,39.0
392MHz 干扰,GLO81,GLO,100,0.253,0.38,0.001953125,39.296875,37.5
392MHz 干扰,GLO82,GLO,63,0.253,0.38,0.001953125,80.0,42.0
392MHz 干扰,GLO95,GLO,85,0.253,0.57,0.001953125,75.875,42.0
392MHz 干扰,GLO96,GLO,100,0.253,0.253,0.001953125,52.09375,41.5
392MHz 干扰,GLO97,GLO,50,0.38,0.38,0.00390625,0.0,29.0
392MHz 干扰,GPS11,GPS,100,0.253,0.253,0.001953125,373.640625,39.5
392MHz 干扰,GPS15,GPS,100,0.253,0.253,0.001953125,44.640625,38.0
392MHz 干扰,GPS20,GPS,100,0.253,0.253,0.001953125,374.234375,40.0
392MHz 干扰,GPS21,GPS,50,0.38,0.38,0.00390625,0.78125,29.0
392MHz 干扰,GPS29,GPS,100,0.253,0.38,0.001953125,0.28125,32.0
392MHz 干扰,GPS5,GPS,100,0.253,0.253,0.001953125,373.640625,41.0
392MHz 干扰,QZS194,QZS,100,0.38,0.57,0.00390625,0.0,26.0
392MHz 干扰,QZS195,QZS,100,0.253,0.253,0.001953125,373.4375,40.5
392MHz 干扰,QZS199,QZS,100,0.253,0.38,0.001953125,38.78125,37.5
无干扰 #3,BDS1,BDS,100,0.253,0.253,0.001953125,31.28125,45.0
无干扰 #3,BDS14,BDS,100,0.253,0.253,0.001953125,28.828125,40.5
无干扰 #3,BDS2,BDS,86,0.253,0.253,0.001953125,21.484375,38.0
无干扰 #3,BDS21,BDS,150,0.253,0.253,0.001953125,27.890625,45.0
无干扰 #3,BDS3,BDS,100,0.253,0.253,0.001953125,26.328125,45.0
无干扰 #3,BDS34,BDS,150,0.253,0.253,0.001953125,2.59375,35.0
无干扰 #3,BDS35,BDS,150,0.253,0.253,0.001953125,27.09375,41.0
无干扰 #3,BDS4,BDS,100,0.253,0.253,0.001953125,27.546875,43.0
无干扰 #3,BDS42,BDS,74,0.38,0.38,0.00390625,0.09375,25.0
无干扰 #3,BDS6,BDS,100,0.21100000000000002,0.253,0.001953125,77.59375,45.5
无干扰 #3,BDS8,BDS,100,0.253,0.253,0.001953125,417.1875,45.0
无干扰 #3,BDS9,BDS,150,0.253,0.253,0.001953125,26.734375,37.0
无干扰 #3,GAL10,GAL,150,0.253,0.253,0.001953125,25.59375,44.0
无干扰 #3,GAL11,GAL,150,0.253,0.253,0.001953125,25.328125,43.0
无干扰 #3,GAL12,GAL,150,0.253,0.253,0.001953125,20.484375,32.0
无干扰 #3,GAL18,GAL,150,0.253,0.253,0.001953125,26.234375,44.0
无干扰 #3,GAL36,GAL,119,0.253,0.38,0.001953125,21.78125,34.0
无干扰 #3,GAL4,GAL,150,0.253,0.253,0.001953125,25.6875,44.0
无干扰 #3,GAL6,GAL,150,0.253,0.253,0.001953125,26.0,44.0
无干扰 #3,GAL9,GAL,150,0.253,0.253,0.001953125,25.4375,44.0
无干扰 #3,GLO75,GLO,50,0.253,0.253,0.001953125,8.890625,40.0
无干扰 #3,GLO81,GLO,100,0.253,0.253,0.001953125,76.734375,41.0
无干扰 #3,GLO82,GLO,100,0.253,0.253,0.001953125,76.390625,41.0
无干扰 #3,GLO95,GLO,100,0.253,0.253,0.001953125,74.875,42.0
无干扰 #3,GLO96,GLO,100,0.253,0.253,0.001953125,77.78125,43.0
无干扰 #3,GLO97,GLO,50,0.253,0.253,0.001953125,24.1875,41.0
无干扰 #3,GPS11,GPS,150,0.253,0.253,0.001953125,27.484375,43.0
无干扰 #3,GPS15,GPS,100,0.253,0.253,0.001953125,75.046875,40.0
无干扰 #3,GPS20,GPS,100,0.253,0.253,0.001953125,76.4375,42.0
无干扰 #3,GPS21,GPS,50,0.253,0.253,0.001953125,26.1875,35.0
无干扰 #3,GPS29,GPS,100,0.253,0.253,0.001953125,1.828125,33.0
无干扰 #3,GPS5,GPS,100,0.253,0.253,0.001953125,82.03125,43.0
无干扰 #3,QZS194,QZS,150,0.38,0.38,0.00390625,20.78125,30.0
无干扰 #3,QZS195,QZS,150,0.253,0.253,0.001953125,28.890625,44.0
无干扰 #3,QZS199,QZS,150,0.253,0.253,0.001953125,27.390625,41.0
4G/5G 干扰,BDS1,BDS,100,0.253,0.253,0.001953125,85.6875,45.0
4G/5G 干扰,BDS14,BDS,100,0.253,0.253,0.001953125,83.234375,41.0
4G/5G 干扰,BDS2,BDS,77,0.253,0.38,0.001953125,76.78125,38.0
4G/5G 干扰,BDS21,BDS,150,0.253,0.253,0.001953125,82.28125,44.0
4G/5G 干扰,BDS3,BDS,100,0.253,0.253,0.001953125,80.734375,44.0
