sys,n,fisher_z_avg_r,r_median,r_mean,n_strong,n_moderate,n_weak
BDS,12,0.2301552709995072,0.17790636384333852,0.22045665095490571,0,2,10
GAL,9,0.36675048674986793,0.35832819557881396,0.3470639225502419,1,2,6
GLO,6,0.1726288494202378,0.15346614942628822,0.17173930251395472,0,0,6
GPS,8,0.2371360291654258,0.08290644074693401,0.20796864504048693,0,2,6
QZS,4,0.42532443564526407,0.06778742492102503,0.2619798248135521,1,0,3
