svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,2144,47.5,25.0,45.5,46.5,46.0,44.655550373134325
BDS14,BDS,4408,43.5,19.75,34.75,42.0,35.5,37.34108439201452
BDS2,BDS,3708,47.75,23.5,38.5,45.5,42.25,41.82139967637541
BDS21,BDS,6333,48.25,26.25,39.25,45.5,44.75,42.06541133743881
BDS22,BDS,1258,45.5,18.75,29.75,41.25,32.0,34.638513513513516
BDS3,BDS,4261,47.25,23.5,36.75,45.75,39.5,40.63025111476179
BDS34,BDS,5773,45.0,15.25,33.5,40.5,36.5,36.22574917720423
BDS35,BDS,6352,50.25,24.0,34.5,44.5,42.0,39.564546599496225
BDS4,BDS,4251,46.5,26.75,43.0,44.0,43.5,42.54051987767584
BDS42,BDS,4108,46.25,16.25,29.75,41.75,34.75,35.313534566699126
BDS6,BDS,4408,49.0,26.75,42.5,47.5,43.5,43.95457123411978
BDS7,BDS,1745,44.0,31.0,32.25,43.75,43.0,38.10157593123209
BDS8,BDS,4408,46.5,26.0,33.75,45.75,43.25,40.54367059891107
BDS9,BDS,6436,45.75,23.75,37.0,44.5,38.25,39.10402423865755
GAL10,GAL,6422,47.5,23.75,42.75,45.75,44.5,43.898123637496106
GAL11,GAL,6248,47.0,15.25,42.75,44.5,43.75,43.06662131882202
GAL12,GAL,6113,42.75,19.25,34.25,40.25,38.0,37.12718796008507
GAL18,GAL,6398,47.75,23.5,33.25,45.25,44.5,40.51180056267584
GAL194,GAL,2204,41.75,19.25,31.5,33.75,33.0,32.35537658802178
GAL28,GAL,1951,46.25,20.75,32.25,45.0,38.75,38.62711430035879
GAL36,GAL,4884,46.75,19.5,35.75,40.5,38.75,37.924651924651926
GAL4,GAL,4176,48.5,33.25,44.0,47.0,45.0,45.36661877394636
GAL6,GAL,6366,48.75,21.5,42.75,46.5,44.25,43.89828777882501
GAL9,GAL,6372,47.25,22.0,43.25,45.25,44.0,43.660193032015066
GLO41,GLO,2204,43.75,19.25,40.25,41.75,40.75,39.711093466424686
GLO81,GLO,3383,47.75,22.75,37.5,43.5,40.0,40.15740467041088
GLO82,GLO,4216,43.75,28.0,38.75,41.5,40.25,39.72865275142315
GLO95,GLO,4226,44.5,17.0,41.0,42.5,42.0,41.2099503076195
GLO96,GLO,4408,46.75,32.75,41.25,46.0,42.75,43.23049001814882
GLO97,GLO,2204,43.75,33.25,41.25,42.25,41.75,41.26077586206897
GPS11,GPS,6181,46.75,14.75,40.0,43.5,41.5,41.342420320336515
GPS15,GPS,4196,49.25,22.75,43.0,45.0,44.25,43.54164680648236
GPS20,GPS,4196,45.0,18.75,39.0,42.75,40.0,40.62088894184938
GPS21,GPS,1652,44.0,41.5,42.5,43.25,42.75,42.82702784503632
GPS29,GPS,4192,44.5,18.0,34.4375,40.25,36.75,36.56977576335878
GPS30,GPS,2695,37.25,17.75,29.75,34.0,32.75,31.958070500927644
GPS38,GPS,1179,40.5,17.75,31.75,35.75,32.5,33.40691263782867
GPS44,GPS,1025,38.5,22.0,31.75,34.25,33.0,33.05268292682927
GPS5,GPS,1989,47.75,39.5,45.25,46.5,45.75,45.4746103569633
GPS6,GPS,80,46.75,29.0,39.75,45.9375,42.625,42.621875
QZS192,QZS,2204,48.5,18.0,45.5,46.25,46.0,44.89609800362977
QZS385,QZS,3141,36.25,17.0,27.25,31.0,29.25,29.25978987583572
QZS386,QZS,6181,45.5,19.25,38.0,43.75,42.0,39.91894515450574
QZS390,QZS,6185,47.75,17.75,37.0,45.25,41.0,40.613257881972515
