sys,n,fisher_z_avg_r,r_median,r_mean,n_strong,n_moderate,n_weak
BDS,14,0.6238392598568205,0.6617710207398437,0.6168692794961237,3,11,0
GAL,8,0.325008258857025,0.2926172877032931,0.322170487224938,0,3,5
GLO,7,0.17205023339609393,0.23920598071778248,0.1673830240386911,0,1,6
GPS,8,0.287404462547763,0.1811119491130601,0.2573986173588819,1,0,7
QZS,3,0.18062548063420297,0.17051947717513538,0.17836484872525274,0,0,3
