interf_seg,delta_median,delta_p25,delta_p75,n_lost,pll_change_pct,etsi_pass
409MHz 干扰,-2.25,-3.8125,-0.59375,0,0.0,False
392MHz 干扰,-6.25,-10.0,-3.78125,2,0.0,False
4G/5G 干扰,0.0,-0.71875,0.375,0,0.0,True
Wi-Fi 干扰,-0.25,-0.75,0.4375,1,0.0,True
