label,n,std_psr_median,std_psr_mean,std_psr_p25,std_psr_p75,std_adr_median,std_adr_mean,locktime_median,locktime_p25,doppler_std,cno_median
无干扰 #1,5028,0.253,0.23604912490055693,0.253,0.253,0.001953125,0.0020012927605409705,478.6875,472.6875,1499.9976802627493,45.0
409MHz 干扰,3746,0.253,0.27616524292578754,0.253,0.253,0.001953125,0.0023645013013881473,9.328125,0.28125,1566.8161567832635,39.0
无干扰 #2,5000,0.253,0.23710920000000005,0.253,0.253,0.001953125,0.001973828125,18.09375,13.8515625,1506.8528929609724,45.0
392MHz 干扰,3514,0.253,0.2627933978372226,0.253,0.253,0.001953125,0.0020492805563460444,16.09375,2.09375,1516.383680868445,37.0
无干扰 #3,4933,0.253,0.24038130954794246,0.253,0.253,0.001953125,0.0019950936296371374,19.0,14.875,1516.0357993045334,45.0
4G/5G 干扰,4985,0.253,0.24073099297893688,0.253,0.253,0.001953125,0.0020142458625877634,62.375,58.0,1512.6343735690202,45.0
无干扰 #4,4965,0.253,0.23877522658610276,0.253,0.253,0.001953125,0.002016458962739174,117.375,112.78125,1517.0106226938453,45.0
Wi-Fi 干扰,4942,0.253,0.2383251719951437,0.253,0.253,0.001953125,0.002012011204977742,166.28125,161.6875,1521.742431393754,45.0
无干扰 #5,4950,0.253,0.23938242424242429,0.253,0.253,0.001953125,0.0020059974747474747,206.09375,201.375,1521.8854131175503,45.0
