interf_seg,delta_median,delta_p25,delta_p75,n_lost,pll_change_pct,etsi_pass
409MHz 干扰,-3.25,-4.8125,-0.65625,1,0.0,False
392MHz 干扰,-7.375,-10.09375,-3.0625,1,0.0,False
4G/5G 干扰,0.0,-0.5,0.25,0,0.0,True
Wi-Fi 干扰,0.0,-0.25,0.5,0,0.0,True
