segment,band,n,std_psr_median,std_psr_mean,std_adr_median,cno_median,locktime_median
Wi-Fi 干扰,E5a,400,0.253,0.2521600000000001,0.001953125,44.0,162.375
Wi-Fi 干扰,E5b,400,0.169,0.20050000000000004,0.001953125,48.0,164.28125
Wi-Fi 干扰,L1,850,0.253,0.25512352941176475,0.001953125,43.0,165.28125
Wi-Fi 干扰,L2,792,0.253,0.26839393939393946,0.001953125,43.0,234.046875
Wi-Fi 干扰,L5,350,0.253,0.21676000000000004,0.001953125,47.0,163.375
无干扰 #5,B1,700,0.253,0.22732000000000002,0.001953125,46.0,205.1875
无干扰 #5,B2,350,0.253,0.21700000000000005,0.001953125,46.0,205.4375
无干扰 #5,B3,700,0.253,0.24100000000000008,0.001953125,45.0,217.828125
无干扰 #5,E1,400,0.253,0.22528000000000006,0.001953125,45.5,203.875
无干扰 #5,E5a,400,0.253,0.25300000000000006,0.001953125,45.0,202.375
无干扰 #5,E5b,400,0.169,0.20050000000000004,0.001953125,49.0,204.28125
无干扰 #5,L1,850,0.253,0.2529376470588236,0.001953125,43.0,205.28125
无干扰 #5,L2,800,0.253,0.2681375000000001,0.001953125,42.0,273.9375
无干扰 #5,L5,350,0.253,0.22900000000000006,0.001953125,45.0,203.375
