svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,4353,46.5,31.25,44.75,45.25,45.0,43.93940960257294
BDS10,BDS,6566,46.75,32.0,42.5,45.0,44.25,43.265953396283884
BDS2,BDS,4269,45.25,26.5,40.5,41.25,41.0,39.794741157179665
BDS23,BDS,6356,49.0,27.75,41.5,44.25,43.0,42.64470578980491
BDS24,BDS,6359,53.0,24.25,43.5,47.25,46.0,45.201800597578234
BDS25,BDS,6359,51.0,28.75,44.5,47.75,46.25,45.52071866645699
BDS3,BDS,4103,48.5,28.25,42.75,46.25,43.25,43.906105288813066
BDS33,BDS,6360,54.75,29.0,45.5,48.25,47.75,46.516705974842765
BDS4,BDS,4303,47.25,28.75,43.5,45.5,44.0,43.60411340924936
BDS41,BDS,6356,52.5,26.5,44.5,48.0625,45.25,45.257119257394585
BDS42,BDS,6061,44.5,19.75,34.0,37.25,35.75,35.60241709288896
BDS6,BDS,4390,48.25,36.25,43.5,47.25,44.5,44.56964692482916
BDS7,BDS,4390,47.75,32.5,45.5,46.75,46.25,45.11395216400911
BDS9,BDS,6585,46.75,32.5,44.25,45.5,44.75,44.09973424449507
GAL13,GAL,6349,46.75,21.75,39.5,43.5,42.0,41.26342731138762
GAL2,GAL,6361,49.25,17.75,43.25,46.75,44.25,44.57966514698947
GAL26,GAL,5919,42.5,22.0,34.75,38.5,37.25,36.44276904882582
GAL27,GAL,5900,47.5,21.5,36.0,42.75,40.25,39.07334745762712
GAL30,GAL,6360,49.5,19.0,44.25,47.75,47.0,46.100432389937104
GAL32,GAL,6355,49.0,22.75,43.25,46.75,44.5,44.707553107789145
GAL7,GAL,6344,49.0,16.5,44.5,46.5,45.5,45.18860340479193
GAL8,GAL,6356,49.75,25.75,43.75,47.25,45.75,45.31092668344871
GLO100,GLO,4390,46.75,38.25,44.5,45.75,45.25,44.83525056947608
GLO75,GLO,2049,38.5,18.25,25.5,32.5,29.25,29.398609077598827
GLO76,GLO,2983,40.25,18.25,29.0,33.75,31.75,31.185635266510225
GLO82,GLO,3223,40.25,16.75,30.0,35.25,32.5,32.06197641948495
GLO85,GLO,4390,47.25,33.0,44.0,46.5,45.5,44.66896355353075
GLO86,GLO,4390,47.25,35.0,44.0,45.75,45.0,44.47995444191344
GLO91,GLO,2740,48.0,17.25,30.25,35.75,33.25,32.69689781021898
GLO98,GLO,2388,35.5,16.0,28.0,32.3125,30.75,29.878036013400337
GPS10,GPS,6200,49.5,18.0,44.5,48.0,46.0,46.05838709677419
GPS12,GPS,4232,46.75,17.75,40.5,45.5,43.0,42.73310491493384
GPS13,GPS,4790,47.75,16.5,43.5,45.25,44.5,44.322755741127345
GPS18,GPS,4881,39.0,18.0,29.75,34.0,32.0,31.51521204671174
GPS23,GPS,6198,51.5,18.5,45.5,48.0,46.25,46.40694578896418
GPS25,GPS,6195,49.0,16.75,42.25,47.25,44.0,44.44717514124294
GPS28,GPS,6158,43.0,19.0,35.75,40.25,37.5,37.50060896394933
GPS32,GPS,6179,39.25,20.0,33.25,36.25,34.75,34.47196148244053
QZS385,QZS,6209,45.25,20.0,41.0,42.0,41.5,41.369342889354165
QZS386,QZS,6197,44.5,19.75,39.0,42.25,40.0,40.43803453283847
QZS390,QZS,6207,50.75,17.0,39.5,48.25,45.0,43.72905590462381
