svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,2158,46.5,31.25,44.5,45.5,45.0,44.0032437442076
BDS10,BDS,6566,46.75,32.5,44.25,45.0,44.5,43.84004721291502
BDS2,BDS,4269,46.0,26.75,40.5,45.25,41.5,41.92486530803467
BDS23,BDS,6356,49.0,27.75,41.5,44.25,42.5,42.431639395846446
BDS24,BDS,6359,53.0,24.25,42.75,47.25,44.75,44.64400849190124
BDS25,BDS,6359,51.0,28.75,43.75,47.75,45.25,44.85721025318446
BDS3,BDS,4103,48.5,26.5,41.0,46.25,41.5,42.58286619546673
BDS33,BDS,6360,54.75,29.0,45.5,48.25,46.5,46.098309748427674
BDS4,BDS,4303,48.5,28.25,42.75,45.75,43.5,43.56094585173135
BDS41,BDS,6356,52.5,26.5,44.5,48.25,47.75,46.136091881686596
BDS42,BDS,6061,47.0,28.25,36.0,44.75,37.5,39.27742946708464
BDS6,BDS,4390,47.0,28.75,43.25,44.0,43.75,42.74664009111617
BDS7,BDS,4390,48.25,32.5,45.5,47.25,46.25,45.44789293849659
BDS9,BDS,6585,47.75,35.75,44.75,46.5,45.5,44.929802581624905
GAL13,GAL,6349,46.75,25.75,41.5,45.5,43.75,43.03067412190896
GAL194,GAL,2195,45.5,22.75,42.75,44.25,43.5,43.29760820045558
GAL2,GAL,4166,49.25,38.25,44.0,47.5,46.0,45.57429188670187
GAL26,GAL,5919,43.0,21.75,35.5,40.75,38.5,37.78146646392972
GAL27,GAL,5900,47.5,22.0,35.25,42.75,37.5,37.93161016949153
GAL30,GAL,6360,49.5,21.5,41.0,47.5,44.25,43.91509433962264
GAL32,GAL,6355,49.0,19.0,44.0,47.5,46.5,45.53477576711251
GAL7,GAL,6344,49.0,17.75,43.75,46.5,45.0,44.81328814627995
GAL8,GAL,6356,49.75,16.5,43.5,47.25,44.75,44.883849905601004
GLO100,GLO,4390,46.75,16.0,31.75,45.25,41.25,38.06093394077449
GLO39,GLO,2195,46.5,38.25,44.25,45.75,45.25,44.60239179954442
GLO76,GLO,2841,40.0,18.25,27.0,34.0,31.0,30.599084829285463
GLO82,GLO,3219,40.25,17.0,27.75,32.75,31.0,30.099176762969865
GLO85,GLO,4390,45.75,16.75,33.5,44.25,38.0,38.364236902050116
GLO86,GLO,4390,47.25,33.0,44.25,46.75,46.0,44.75728929384966
GLO91,GLO,2740,48.0,18.0,37.5,45.75,45.0,41.9228102189781
GLO98,GLO,2388,47.25,16.0,28.25,35.25,31.5,32.30569514237856
GPS10,GPS,4005,47.5,18.0,44.5,46.25,45.25,45.30705368289638
GPS12,GPS,4232,49.5,22.5,45.0,48.25,46.0,46.33677930056711
GPS13,GPS,4790,46.75,17.75,40.5,44.0,42.5,42.15829853862213
GPS18,GPS,4881,47.75,16.5,32.0,45.25,36.0,37.925681212866216
GPS23,GPS,6198,51.5,21.0,32.5,46.0,45.5,40.45966440787351
GPS25,GPS,6195,49.5,16.75,42.5,47.75,44.25,44.8046811945117
GPS28,GPS,6158,49.0,19.5,36.0,47.25,38.0,39.893959077622604
GPS32,GPS,6179,43.0,19.0,33.5,39.5,35.5,36.12125748502994
GPS38,GPS,2049,39.25,23.0,34.5,37.0,35.5,35.24792581747194
GPS39,GPS,142,37.75,36.75,37.0,37.5,37.0,37.179577464788736
GPS45,GPS,4,37.5,37.25,37.25,37.5,37.375,37.375
QZS192,QZS,2195,50.75,17.0,48.25,48.75,48.5,47.55740318906606
QZS385,QZS,4014,43.5,20.0,41.0,42.25,41.75,41.43304683607374
QZS386,QZS,6197,45.25,19.75,39.0,41.25,40.0,40.04163304824915
QZS390,QZS,6207,49.25,21.75,39.25,45.0,43.0,41.89531980022555
