segment,svid,sys,n,max,min,p25,p75,median
无干扰 #1,BDS1,BDS,100,48.75,44.75,45.25,48.3125,46.875
无干扰 #1,BDS10,BDS,150,48.25,42.5,43.0,47.1875,44.75
无干扰 #1,BDS2,BDS,100,43.0,40.5,41.0,42.5,41.625
无干扰 #1,BDS23,BDS,150,44.25,41.75,42.0,43.5,43.0
无干扰 #1,BDS24,BDS,150,47.0,44.25,44.5,47.0,46.25
无干扰 #1,BDS25,BDS,150,48.25,46.25,46.75,47.75,46.75
无干扰 #1,BDS3,BDS,100,46.75,43.75,44.0,46.5,45.25
无干扰 #1,BDS33,BDS,150,49.0,46.75,47.25,49.0,47.5
无干扰 #1,BDS4,BDS,100,44.75,43.25,43.5,44.5,44.0
无干扰 #1,BDS41,BDS,150,47.5,45.25,45.5,47.0,46.5
无干扰 #1,BDS42,BDS,145,41.0,37.0,37.5,39.25,38.0
无干扰 #1,BDS6,BDS,100,47.5,44.0,44.25,47.5,45.75
无干扰 #1,BDS7,BDS,100,48.5,47.5,47.5,48.25,47.875
无干扰 #1,BDS9,BDS,150,46.75,44.25,44.5,46.5,46.25
无干扰 #1,GAL13,GAL,150,45.25,40.0,40.25,44.75,44.25
无干扰 #1,GAL2,GAL,150,47.0,43.0,43.5,46.6875,46.0
无干扰 #1,GAL26,GAL,150,42.25,33.0,34.75,42.0,36.75
无干扰 #1,GAL30,GAL,150,49.25,45.0,45.25,48.5,46.5
无干扰 #1,GAL32,GAL,150,46.75,43.5,43.75,46.25,44.75
无干扰 #1,GAL7,GAL,150,47.5,43.5,44.25,47.1875,46.0
无干扰 #1,GAL8,GAL,150,47.25,45.75,46.0,47.0,46.5
无干扰 #1,GLO100,GLO,100,45.0,43.5,44.25,44.5,44.25
无干扰 #1,GLO75,GLO,50,38.0,36.0,36.25,37.4375,36.75
无干扰 #1,GLO76,GLO,29,31.25,21.5,24.25,28.5,27.25
无干扰 #1,GLO82,GLO,100,34.25,26.0,28.5,32.75,29.75
无干扰 #1,GLO85,GLO,100,46.25,44.75,45.25,45.75,45.5
