svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,2162,49.0,30.5,48.0,48.5,48.25,46.692530064754855
BDS10,BDS,6576,49.0,33.0,44.75,46.75,45.25,45.114583333333336
BDS2,BDS,4134,48.5,23.5,42.5,45.25,43.25,43.09694000967586
BDS23,BDS,6325,48.0,30.75,42.5,44.25,43.25,42.48399209486166
BDS24,BDS,6347,53.25,23.75,42.0,47.25,44.25,43.975500236332124
BDS25,BDS,6344,49.0,26.75,46.0,47.75,47.0,46.00039407313997
BDS3,BDS,4325,46.75,26.5,40.5,45.75,41.25,42.545028901734106
BDS32,BDS,1145,47.5,21.25,47.0,47.25,47.25,45.81593886462882
BDS33,BDS,6350,52.75,17.25,43.25,47.75,47.0,42.97964566929134
BDS4,BDS,4357,46.75,20.5,43.25,44.25,44.0,42.929423915538216
BDS41,BDS,6351,48.75,23.5,46.5,48.0,47.5,46.49366241536766
BDS42,BDS,6232,48.0,21.0,34.75,46.0,37.0,38.67686938382542
BDS6,BDS,4384,46.75,32.0,43.75,45.25,44.25,43.6514598540146
BDS7,BDS,4384,50.0,34.75,47.25,48.25,47.75,46.99070483576642
BDS9,BDS,6576,48.25,33.5,46.0,47.25,46.75,45.9623251216545
GAL13,GAL,6341,47.0,19.5,41.75,45.75,43.5,43.0052042264627
GAL194,GAL,2192,47.0,24.5,42.75,44.75,43.75,43.52988138686131
GAL2,GAL,4137,48.5,33.75,45.25,46.75,46.0,45.668298283780516
GAL26,GAL,6221,45.75,21.75,37.75,42.0,40.75,39.759885870438836
GAL27,GAL,300,45.75,36.75,37.9375,45.0,39.25,40.3775
GAL30,GAL,6352,50.5,22.75,38.5,48.25,46.5,43.93616183879093
GAL32,GAL,6340,49.0,19.0,43.25,47.0,46.25,44.933872239747636
GAL7,GAL,6348,49.5,20.0,44.0,47.25,46.25,45.462586641461876
GAL8,GAL,6354,49.5,19.0,43.75,46.75,45.25,45.04469625432798
GLO100,GLO,4384,46.75,15.0,30.5,46.0,38.25,37.714530109489054
GLO39,GLO,2192,46.5,35.25,44.5,45.5,45.0,44.493955291970806
GLO76,GLO,2453,38.75,17.0,27.0,32.0,29.25,29.513554830819405
GLO82,GLO,3475,41.25,17.0,28.25,32.75,31.0,30.253165467625898
GLO85,GLO,4377,46.75,17.75,33.5,45.75,37.5,39.012794151245146
GLO86,GLO,4384,47.25,28.75,45.0,46.25,46.0,44.5384352189781
GLO91,GLO,2523,47.0,18.75,37.25,46.0,45.25,41.986623067776456
GLO98,GLO,2401,46.5,16.25,27.5,35.5,31.0,32.09423157017909
GPS10,GPS,3994,48.0,18.5,44.75,46.25,45.5,45.28455182774161
GPS12,GPS,4223,50.5,23.25,46.0,48.0,47.25,46.715190622780014
GPS13,GPS,4782,48.25,19.0,39.5,45.5,44.5,42.67084901714764
GPS18,GPS,5137,46.75,16.5,28.75,44.75,33.5,35.96461942768153
GPS23,GPS,6189,49.25,17.75,32.5,45.75,45.0,40.48590240749717
GPS25,GPS,6172,51.0,18.5,42.75,48.0,43.75,44.7075097213221
GPS28,GPS,6149,49.25,18.75,36.5,47.0,38.75,40.07037729712148
GPS31,GPS,1747,41.0,18.25,30.0,39.0,38.75,34.32956496851746
GPS32,GPS,6171,42.0,17.25,33.0,38.5,35.25,35.474558418408684
GPS38,GPS,1938,38.0,28.75,35.0,35.75,35.25,35.16150670794634
GPS39,GPS,162,36.0,24.0,35.0,35.75,35.5,34.97839506172839
GPS45,GPS,85,35.75,23.0,34.5,35.0,34.75,34.455882352941174
GPS48,GPS,7,35.0,34.75,34.875,35.0,35.0,34.92857142857143
QZS192,QZS,2192,48.25,20.0,47.0,47.25,47.0,46.331204379562045
QZS385,QZS,3951,42.75,20.75,39.0,41.25,40.5,39.93482662617059
QZS386,QZS,6196,45.25,19.75,38.25,40.75,39.5,39.3562782440284
QZS390,QZS,6193,46.25,17.75,39.75,42.5,40.75,40.4865170353625
