interf_seg,delta_median,delta_p25,delta_p75,n_lost,pll_change_pct,etsi_pass
409MHz 干扰,-1.75,-4.25,0.4375,1,0.0,False
392MHz 干扰,-5.25,-5.875,-2.75,3,0.0,False
4G/5G 干扰,0.25,-0.5,0.8125,0,0.0,True
Wi-Fi 干扰,0.25,-0.625,0.75,0,0.0,True
