interf_seg,svid,sys,track_gap_sec,rc_gap_sec
409MHz 干扰,GLO98,GLO,6.8950000000040745,6.8950000000040745
409MHz 干扰,GLO82,GLO,3.4949999999953434,3.4949999999953434
392MHz 干扰,GLO98,GLO,3.6000000000058208,3.6000000000058208
392MHz 干扰,GLO91,GLO,4.684999999997672,4.684999999997672
392MHz 干扰,GLO82,GLO,3.485000000000582,3.485000000000582
Wi-Fi 干扰,GLO75,GLO,4.079999999987194,4.079999999987194
