segment,svid,sys,n,std_psr_median,std_psr_max,std_adr_median,locktime_median,cno_median
409MHz 干扰,GPS25,GPS,100,0.253,0.253,0.001953125,389.9375,43.5
409MHz 干扰,GPS28,GPS,100,0.253,0.253,0.001953125,231.78125,35.5
409MHz 干扰,GPS32,GPS,87,0.253,0.38,0.001953125,71.28125,35.0
409MHz 干扰,QZS194,QZS,94,0.253,0.253,0.001953125,391.78125,38.0
409MHz 干扰,QZS195,QZS,100,0.253,0.253,0.001953125,311.078125,36.5
409MHz 干扰,QZS199,QZS,100,0.253,0.253,0.001953125,394.828125,40.5
无干扰 #2,BDS1,BDS,100,0.21100000000000002,0.253,0.001953125,224.28125,46.5
无干扰 #2,BDS10,BDS,150,0.253,0.253,0.001953125,48.09375,44.0
无干扰 #2,BDS2,BDS,93,0.253,0.253,0.001953125,426.875,42.0
无干扰 #2,BDS23,BDS,150,0.253,0.253,0.001953125,18.28125,43.0
无干扰 #2,BDS24,BDS,150,0.253,0.253,0.001953125,429.046875,45.0
无干扰 #2,BDS25,BDS,150,0.253,0.253,0.001953125,426.28125,47.0
无干扰 #2,BDS3,BDS,100,0.253,0.253,0.001953125,224.1875,45.0
无干扰 #2,BDS33,BDS,150,0.21100000000000002,0.253,0.001953125,427.0,47.0
无干扰 #2,BDS4,BDS,100,0.253,0.253,0.001953125,224.234375,43.0
无干扰 #2,BDS41,BDS,150,0.253,0.253,0.001953125,424.78125,46.0
无干扰 #2,BDS42,BDS,150,0.253,0.253,0.001953125,17.140625,37.0
无干扰 #2,BDS6,BDS,100,0.253,0.253,0.001953125,429.984375,45.5
无干扰 #2,BDS7,BDS,100,0.169,0.253,0.001953125,429.9375,47.0
无干扰 #2,BDS9,BDS,150,0.253,0.253,0.001953125,429.140625,46.0
无干扰 #2,GAL13,GAL,150,0.253,0.253,0.001953125,425.9375,41.0
无干扰 #2,GAL2,GAL,150,0.253,0.253,0.001953125,430.09375,45.0
无干扰 #2,GAL26,GAL,150,0.253,0.253,0.001953125,33.890625,39.0
无干扰 #2,GAL30,GAL,150,0.253,0.253,0.001953125,422.1875,47.0
无干扰 #2,GAL32,GAL,150,0.253,0.253,0.001953125,422.046875,44.0
无干扰 #2,GAL7,GAL,150,0.253,0.253,0.001953125,429.09375,46.0
无干扰 #2,GAL8,GAL,150,0.253,0.253,0.001953125,423.328125,45.0
无干扰 #2,GLO100,GLO,100,0.253,0.253,0.001953125,200.9375,45.5
无干扰 #2,GLO75,GLO,50,0.253,0.38,0.001953125,0.28125,32.0
无干扰 #2,GLO76,GLO,50,0.38,0.38,0.001953125,0.0,30.0
无干扰 #2,GLO82,GLO,87,0.38,0.57,0.00390625,0.09375,29.0
无干扰 #2,GLO85,GLO,100,0.253,0.253,0.001953125,222.375,46.0
无干扰 #2,GLO86,GLO,100,0.253,0.253,0.001953125,223.984375,46.0
无干扰 #2,GLO91,GLO,51,0.253,0.253,0.001953125,11.28125,41.0
无干扰 #2,GLO98,GLO,32,0.38,0.57,0.00390625,0.0,28.5
无干扰 #2,GPS10,GPS,150,0.253,0.253,0.001953125,425.78125,46.0
无干扰 #2,GPS12,GPS,100,0.253,0.253,0.001953125,220.78125,43.5
