interf_seg,delta_median,delta_p25,delta_p75,n_lost,pll_change_pct,etsi_pass
409MHz 干扰,-1.125,-3.71875,0.3125,1,0.0,False
392MHz 干扰,-4.875,-6.25,-3.5625,2,0.0,False
4G/5G 干扰,0.25,-0.25,0.75,0,0.0,True
Wi-Fi 干扰,0.25,0.0,0.9375,0,0.0,True
