baseline_seg,interf_seg,n_lost,n_gained,lost_svids,gained_svids,lost_durations,min_loss_sec
无干扰 #1,409MHz 干扰,2,0,"GLO82,GLO98",,"6.9,3.5",3.0
无干扰 #2,392MHz 干扰,3,0,"GLO82,GLO91,GLO98",,"3.6,3.5,4.7",3.0
无干扰 #3,4G/5G 干扰,0,0,,,,3.0
无干扰 #4,Wi-Fi 干扰,1,0,GLO75,,4.1,3.0
