interf_seg,svid,sys,track_gap_sec,rc_gap_sec
409MHz 干扰,GLO82,GLO,3.3999999999941792,3.3999999999941792
392MHz 干扰,GLO98,GLO,4.0,4.0
392MHz 干扰,GLO75,GLO,10.0,10.0
392MHz 干扰,GPS38,GPS,10.0,10.0
