segment,n_pairs,median_diff,wilcoxon_z,wilcoxon_p,significant
无干扰 #1,43,0.0,-0.3095243314377179,0.7569227064600161,False
409MHz 干扰,42,0.75,1.6513228782789267,0.09867266312768885,False
无干扰 #2,43,-0.5,-2.026940774799267,0.042668469897509276,True
392MHz 干扰,41,0.375,0.01944570318767984,0.9844855514190554,False
无干扰 #3,43,-0.25,-0.629041802065758,0.5293216896826749,False
4G/5G 干扰,43,-0.25,-1.1365856139511437,0.2557115568166395,False
无干扰 #4,43,-0.5,-1.1610166290615778,0.24563513696090356,False
Wi-Fi 干扰,43,-0.75,-0.46056341788916405,0.645111862503104,False
无干扰 #5,43,0.0,-0.0778179680870313,0.9379728533239244,False
