label,n,std_psr_median,std_psr_mean,std_psr_p25,std_psr_p75,std_adr_median,std_adr_mean,locktime_median,locktime_p25,doppler_std,cno_median
无干扰 #1,5105,0.253,0.24938707149853087,0.253,0.253,0.001953125,0.002036529750244858,353.78125,318.1875,1400.538381590331,44.0
409MHz 干扰,4237,0.253,0.25041892848713715,0.253,0.253,0.001953125,0.0020130509499645976,389.875,78.5,1421.1662728273623,41.0
无干扰 #2,4962,0.253,0.24749818621523584,0.253,0.253,0.001953125,0.001994848347440548,421.5,17.09375,1375.4614942753642,44.0
392MHz 干扰,3691,0.253,0.26581495529666765,0.253,0.253,0.001953125,0.002128805709834733,48.78125,2.78125,1391.8019897474348,38.0
无干扰 #3,4982,0.253,0.24831272581292654,0.253,0.253,0.001953125,0.00202721986651947,28.6875,12.5234375,1406.6470848126519,44.0
4G/5G 干扰,5076,0.253,0.24283510638297878,0.253,0.253,0.001953125,0.002039699689716312,65.375,50.59375,1430.039668752564,44.0
无干扰 #4,5132,0.253,0.2513877630553391,0.253,0.253,0.001953125,0.0020760516124318004,126.09375,112.78125,1466.4982930585822,44.0
Wi-Fi 干扰,5207,0.253,0.2507466871519109,0.253,0.253,0.001953125,0.002133921283848665,188.875,178.5,1469.548550519205,45.0
无干扰 #5,5163,0.253,0.25289870230486156,0.253,0.253,0.001953125,0.002081366211504939,251.6875,240.59375,1451.3457506564346,44.0
