segment,svid,sys,n,std_psr_median,std_psr_max,std_adr_median,locktime_median,cno_median
409MHz 干扰,GPS25,GPS,100,0.253,0.253,0.001953125,389.140625,44.0
409MHz 干扰,GPS28,GPS,100,0.253,0.253,0.001953125,231.78125,36.0
409MHz 干扰,GPS32,GPS,87,0.253,0.38,0.001953125,70.5,35.0
409MHz 干扰,QZS194,QZS,92,0.253,0.253,0.001953125,391.1875,38.0
409MHz 干扰,QZS195,QZS,100,0.253,0.253,0.001953125,310.296875,36.5
409MHz 干扰,QZS199,QZS,100,0.253,0.253,0.001953125,394.046875,40.5
无干扰 #2,BDS1,BDS,100,0.21100000000000002,0.253,0.001953125,223.5,46.5
无干扰 #2,BDS10,BDS,150,0.253,0.253,0.001953125,47.28125,44.0
无干扰 #2,BDS2,BDS,93,0.253,0.253,0.001953125,426.09375,42.0
无干扰 #2,BDS23,BDS,150,0.253,0.253,0.001953125,17.484375,43.0
无干扰 #2,BDS24,BDS,150,0.253,0.253,0.001953125,428.234375,45.0
无干扰 #2,BDS25,BDS,150,0.253,0.253,0.001953125,425.484375,47.0
无干扰 #2,BDS3,BDS,100,0.253,0.253,0.001953125,223.390625,45.0
无干扰 #2,BDS33,BDS,150,0.253,0.253,0.001953125,426.1875,47.0
无干扰 #2,BDS4,BDS,100,0.253,0.253,0.001953125,223.4375,43.0
无干扰 #2,BDS41,BDS,150,0.253,0.253,0.001953125,424.0,46.0
无干扰 #2,BDS42,BDS,150,0.253,0.253,0.001953125,16.328125,37.0
无干扰 #2,BDS6,BDS,100,0.253,0.253,0.001953125,429.1875,45.5
无干扰 #2,BDS7,BDS,100,0.169,0.253,0.001953125,429.140625,47.0
无干扰 #2,BDS9,BDS,150,0.253,0.253,0.001953125,428.328125,46.0
无干扰 #2,GAL13,GAL,150,0.253,0.253,0.001953125,425.140625,40.0
无干扰 #2,GAL2,GAL,150,0.253,0.253,0.001953125,429.28125,45.0
无干扰 #2,GAL26,GAL,150,0.253,0.253,0.001953125,33.09375,39.0
无干扰 #2,GAL30,GAL,150,0.253,0.253,0.001953125,421.375,47.0
无干扰 #2,GAL32,GAL,150,0.253,0.253,0.001953125,421.234375,44.0
无干扰 #2,GAL7,GAL,150,0.253,0.253,0.001953125,428.28125,45.0
无干扰 #2,GAL8,GAL,150,0.253,0.253,0.001953125,422.546875,45.0
无干扰 #2,GLO100,GLO,100,0.253,0.253,0.001953125,200.125,45.5
无干扰 #2,GLO75,GLO,50,0.253,0.38,0.001953125,0.1875,32.5
无干扰 #2,GLO76,GLO,46,0.38,0.38,0.00390625,0.0,30.0
无干扰 #2,GLO82,GLO,91,0.38,0.57,0.00390625,0.09375,29.0
无干扰 #2,GLO85,GLO,100,0.253,0.253,0.001953125,221.59375,46.0
无干扰 #2,GLO86,GLO,100,0.253,0.253,0.001953125,223.1875,46.0
无干扰 #2,GLO91,GLO,50,0.253,0.253,0.001953125,10.59375,41.0
无干扰 #2,GLO98,GLO,32,0.38,0.57,0.00390625,0.0,28.5
无干扰 #2,GPS10,GPS,150,0.253,0.253,0.001953125,424.984375,46.0
无干扰 #2,GPS12,GPS,100,0.253,0.253,0.001953125,219.984375,43.5
