segment,band,n,std_psr_median,std_psr_mean,std_adr_median,cno_median,locktime_median
Wi-Fi 干扰,L2,650,0.253,0.25269692307692315,0.001953125,43.0,283.640625
Wi-Fi 干扰,L5,250,0.253,0.25098400000000004,0.001953125,45.0,181.546875
无干扰 #5,B1,650,0.253,0.25321230769230774,0.001953125,43.0,227.6875
无干扰 #5,B2I,50,0.253,0.25300000000000006,0.001953125,38.0,230.484375
无干扰 #5,B2a,150,0.253,0.25300000000000006,0.001953125,42.0,226.6875
无干扰 #5,B3,587,0.253,0.2523356047700171,0.001953125,44.0,233.59375
无干扰 #5,E1,430,0.253,0.26111627906976753,0.001953125,43.0,230.9375
无干扰 #5,E5a,441,0.253,0.27920634920634924,0.001953125,43.0,227.28125
无干扰 #5,E5b,450,0.169,0.197,0.001953125,48.0,230.828125
无干扰 #5,L1,800,0.253,0.25601625000000006,0.001953125,41.0,227.4375
无干扰 #5,L2,650,0.253,0.25475846153846154,0.001953125,43.0,327.78125
无干扰 #5,L5,250,0.253,0.25300000000000006,0.001953125,45.0,225.734375
