svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,4348,47.75,25.0,45.25,46.0,45.75,44.56629484820607
BDS14,BDS,4408,43.5,28.5,38.75,42.0,40.25,39.41572141560798
BDS2,BDS,3708,41.0,23.5,36.5,38.75,37.75,37.107335490830636
BDS21,BDS,6333,48.25,26.25,42.5,45.5,44.75,43.175035528185695
BDS22,BDS,1258,31.5,15.25,26.25,30.0,28.75,27.724761526232115
BDS3,BDS,4261,47.25,29.75,43.5,45.75,44.25,43.80773292654307
BDS34,BDS,5773,41.75,22.25,33.75,36.75,35.5,34.83790923263468
BDS35,BDS,6352,50.25,24.25,41.0,44.5,42.75,41.960563602015114
BDS4,BDS,4251,44.75,26.75,42.25,43.5,43.0,41.9231945424606
BDS42,BDS,4108,40.75,15.25,28.0,32.25,30.75,29.886197663096397
BDS6,BDS,4408,49.0,26.75,43.0,47.5,43.75,44.02348003629764
BDS7,BDS,1745,34.25,26.0,31.5,32.75,32.25,32.00616045845272
BDS8,BDS,4408,46.5,30.0,44.5,45.75,45.0,43.95457123411978
BDS9,BDS,6436,41.25,19.75,34.75,38.0,36.5,35.74658172778123
GAL10,GAL,6422,47.5,15.25,44.0,45.75,44.75,44.177709436312675
GAL11,GAL,6248,47.0,19.25,40.25,44.0,42.5,41.73499519846351
GAL12,GAL,6113,42.75,23.5,32.0,38.0,34.75,34.943235727138884
GAL18,GAL,6398,47.75,19.5,44.5,45.25,44.75,44.36702875898718
GAL28,GAL,1951,36.25,19.25,27.25,32.75,31.0,30.16107124551512
GAL36,GAL,4884,41.75,20.0,33.25,39.5,36.75,36.164414414414416
GAL4,GAL,6380,48.75,21.5,42.75,46.5,44.0,44.044435736677116
GAL6,GAL,6366,47.75,22.0,43.25,46.5,44.25,43.98782595036129
GAL9,GAL,6372,47.25,23.75,42.5,45.25,44.0,43.58364720652856
GLO38,GLO,1179,43.25,30.5,37.5,40.5,39.0,38.80110262934691
GLO44,GLO,4408,47.75,22.75,36.5,42.75,39.75,39.82219827586207
GLO45,GLO,4216,44.5,28.0,40.5,42.25,41.5,41.05289373814042
GLO58,GLO,4226,43.75,17.0,41.0,42.25,41.75,41.12020823473734
GLO59,GLO,4408,46.75,32.75,41.5,46.0,42.75,43.29962568058076
GLO60,GLO,2204,43.75,19.25,40.25,41.75,40.75,39.711093466424686
GPS11,GPS,6181,49.25,19.5,41.5,44.5,43.0,42.8186782074098
GPS15,GPS,4196,45.75,18.75,39.0,44.25,40.25,41.34306482364156
GPS20,GPS,4196,44.5,18.0,42.25,43.0,42.75,42.278539084842706
GPS21,GPS,1652,42.75,25.25,35.0,40.5,37.5,36.99213075060533
GPS29,GPS,4192,39.0,22.0,32.25,35.75,33.75,33.67640744274809
GPS30,GPS,2695,40.5,17.75,30.5,34.25,32.5,32.353896103896105
GPS5,GPS,4193,47.75,22.0,39.5,46.0,42.25,42.73253040782256
GPS6,GPS,80,26.5,14.75,21.75,24.25,23.375,22.41875
QZS194,QZS,5345,40.5,17.0,28.25,35.75,31.0,31.49780168381665
QZS195,QZS,6181,47.75,19.25,42.25,45.25,44.0,43.44652968775279
QZS199,QZS,6185,48.5,17.75,37.0,45.75,41.0,40.72582861762328
