svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,4415,48.5,28.5,46.75,47.75,47.25,46.14631936579841
BDS14,BDS,4394,41.5,22.25,36.0,39.5,38.0,37.048532089212564
BDS2,BDS,3691,40.0,23.25,32.5,36.5,34.25,34.32287997832566
BDS21,BDS,6441,48.25,25.25,43.5,45.25,44.75,43.63553795994411
BDS22,BDS,1173,33.0,18.25,28.25,30.5,29.5,29.124467178175617
BDS3,BDS,4381,49.0,31.0,44.75,47.75,45.25,45.336909381419765
BDS34,BDS,5868,42.75,19.75,33.6875,38.0,35.75,35.394171779141104
BDS35,BDS,6426,47.25,27.25,42.25,44.5,43.5,42.62538904450669
BDS4,BDS,4365,47.0,27.5,45.25,46.0,45.5,44.41426116838488
BDS42,BDS,1340,33.0,15.25,26.0,31.0,28.75,27.9544776119403
BDS6,BDS,4444,48.0,33.0,46.0,47.0,46.5,45.38180693069307
BDS7,BDS,1164,34.5,19.75,30.25,33.25,32.0,30.69909793814433
BDS8,BDS,4444,47.75,32.25,46.0,47.0,46.25,45.318350585058504
BDS9,BDS,6666,41.5,22.75,36.75,39.0,38.0,37.012938793879385
GAL10,GAL,6443,50.0,21.0,43.5,48.75,45.0,45.2718842154276
GAL11,GAL,6430,49.0,18.75,43.0,46.5,44.0,43.976710730948675
GAL12,GAL,6308,46.25,24.0,33.25,40.5,36.25,36.93076252377933
GAL18,GAL,6451,50.0,19.0,46.0,48.75,47.75,46.99224926368005
GAL28,GAL,2148,38.0,18.75,28.0,34.0,31.75,31.00675046554935
GAL36,GAL,6146,44.25,21.0,34.25,41.0,37.25,37.35636999674585
GAL4,GAL,6448,49.75,26.25,42.75,48.25,45.75,45.08793424317618
GAL6,GAL,6447,50.0,24.0,45.25,48.5,45.75,45.9104622304948
GAL9,GAL,6447,49.75,23.5,43.25,48.25,47.25,45.81367302621374
GLO75,GLO,1183,42.0,26.0,34.25,38.0,36.5,36.07924767540152
GLO81,GLO,4252,47.0,22.25,38.5,44.25,40.5,40.701669802445906
GLO82,GLO,4234,45.0,17.5,40.75,43.25,42.0,41.22638167217761
GLO95,GLO,4222,46.75,19.75,41.25,43.25,42.0,41.27072477498816
GLO96,GLO,4444,46.5,32.25,43.5,45.5,44.5,43.8886701170117
GLO97,GLO,2190,42.5,17.0,37.5,40.25,39.0,37.87808219178082
GPS11,GPS,6235,47.0,18.25,42.25,45.75,44.75,43.75288692862871
GPS15,GPS,4227,46.75,18.0,39.5,44.75,42.25,41.95380884788266
GPS20,GPS,4226,48.25,18.5,45.5,47.25,46.25,45.900378608613345
GPS21,GPS,1533,44.25,17.5,35.5,41.75,38.5,36.90084801043705
GPS29,GPS,4233,39.5,18.5,34.25,36.5,35.5,34.93296716276872
GPS30,GPS,4814,41.75,15.0,27.75,34.75,31.75,31.185656418778564
GPS5,GPS,4232,47.75,19.25,43.75,46.0,44.75,44.46467391304348
QZS385,QZS,5506,36.75,12.75,29.25,34.75,32.75,31.416999636759897
QZS386,QZS,6259,50.75,15.25,44.5,46.5,45.0,44.80100655056718
QZS390,QZS,6241,50.25,18.25,39.0,47.0,43.75,42.64504887037334
