interf_seg,delta_median,delta_p25,delta_p75,n_lost,pll_change_pct,etsi_pass
409MHz 干扰,-2.5625,-3.25,-0.53125,0,0.0,False
392MHz 干扰,-5.75,-7.875,-3.875,3,0.0,False
4G/5G 干扰,-0.125,-0.5,0.3125,0,0.0,True
Wi-Fi 干扰,0.0,-0.625,0.25,0,0.0,True
