sys,n,fisher_z_avg_r,r_median,r_mean,n_strong,n_moderate,n_weak
BDS,14,0.8282048385997447,0.8762605380941728,0.7274575713787189,10,2,2
GAL,9,0.756733720297889,0.8212718805685807,0.7085323919522616,6,2,1
GLO,6,0.7745033849497229,0.7919318988135011,0.7319193234249783,4,1,1
GPS,7,0.7881035557151306,0.8098309916405542,0.7161071780417644,5,1,1
QZS,3,0.7725199656534768,0.8014667944956217,0.6605977494852663,2,0,1
