segment,n_pairs,median_diff,wilcoxon_z,wilcoxon_p,significant
无干扰 #1,33,-0.875,-2.824960155028604,0.004728649589863743,True
409MHz 干扰,34,-2.0,-1.9666382165033784,0.04922493433494646,True
无干扰 #2,34,-1.0,-2.000950344553513,0.045397741332493524,True
392MHz 干扰,33,-0.375,0.2805944924268814,0.7790214408028753,False
无干扰 #3,35,-1.625,-3.4125007385087227,0.0006436975254695554,True
4G/5G 干扰,36,-1.375,-3.5917776434310085,0.0003284300246813032,True
无干扰 #4,36,-0.875,-2.795269777189286,0.0051856421779183925,True
Wi-Fi 干扰,37,-1.375,-2.976098747249926,0.002919408420073877,True
无干扰 #5,38,-1.0,-3.009921934669649,0.002613148440143487,True
