svid,sys,n,max,min,p25,p75,median,mean
BDS1,BDS,446,47.5,44.5,45.25,46.25,45.75,45.848094170403584
BDS10,BDS,1338,47.25,40.75,41.5,46.75,45.5,44.595104633781766
BDS13,BDS,892,46.25,41.25,41.75,43.75,42.25,42.741311659192824
BDS14,BDS,446,41.75,39.0,39.5,41.0,40.25,40.24887892376682
BDS2,BDS,892,44.0,41.75,42.25,42.75,42.25,42.47001121076233
BDS24,BDS,1784,50.25,16.25,42.625,47.9375,46.0,42.48052130044843
BDS25,BDS,1784,48.0,43.75,44.6875,47.0,45.5,45.84136771300449
BDS27,BDS,1329,46.0,23.5,33.25,44.5,35.75,37.31847253574116
BDS28,BDS,1737,40.5,21.5,35.0,38.25,36.5,35.95250431778929
BDS3,BDS,892,45.0,39.75,40.25,43.0,41.25,41.68357623318386
BDS33,BDS,1784,49.25,31.75,41.75,46.5,45.0,43.233183856502244
BDS38,BDS,885,46.5,21.5,29.0,45.5,44.0,37.29322033898305
BDS4,BDS,892,46.75,41.25,41.75,45.0,43.25,43.413396860986545
BDS41,BDS,799,37.5,25.0,32.5,34.75,33.5,33.42271589486859
BDS42,BDS,1205,36.25,18.75,29.5,32.0,31.0,30.401659751037343
BDS6,BDS,892,47.0,41.0,41.75,45.75,43.5,43.74859865470852
BDS7,BDS,892,46.5,44.5,45.5,45.75,45.5,45.59220852017937
BDS9,BDS,1338,46.5,42.25,44.0,46.0,44.25,44.61434977578475
GAL13,GAL,1784,48.75,39.75,41.5,46.1875,42.75,43.89209641255606
GAL195,GAL,446,42.5,40.75,41.25,41.75,41.5,41.499439461883405
GAL2,GAL,1328,47.25,37.5,40.5,45.25,44.5,43.3910015060241
GAL26,GAL,1784,48.75,42.0,43.375,46.6875,44.5,45.12261771300449
GAL30,GAL,1784,49.0,40.75,42.25,45.625,44.25,44.40204596412556
GAL7,GAL,1784,51.0,37.5,44.375,48.8125,47.0,45.86519058295964
GAL8,GAL,1784,47.0,35.75,38.0,46.5,42.875,42.40582959641256
GLO39,GLO,446,42.25,36.0,39.25,41.5,40.75,40.22029147982063
GLO76,GLO,308,37.25,25.25,30.9375,36.0,32.75,32.91477272727273
GLO85,GLO,815,47.25,28.5,33.25,46.75,46.25,40.569938650306746
GLO86,GLO,746,46.5,44.5,45.25,46.5,46.0,45.78451742627346
GLO98,GLO,860,46.75,28.75,41.25,43.5,42.75,41.991279069767444
GPS10,GPS,397,36.5,22.0,29.0,34.0,33.25,31.40491183879093
GPS12,GPS,682,45.0,25.25,34.0,44.0,43.5,40.13746334310851
GPS13,GPS,1338,46.0,39.0,40.75,44.25,42.5,42.56390134529148
GPS15,GPS,892,47.0,44.0,45.0,46.5,46.0,45.766816143497756
GPS18,GPS,1329,43.75,37.75,41.25,42.25,41.75,41.666666666666664
GPS20,GPS,1338,48.25,35.25,37.75,47.75,41.5,42.22645739910314
GPS23,GPS,1338,46.25,38.0,40.25,45.5,45.0,43.368647234678626
GPS24,GPS,1338,49.75,43.25,44.0,49.25,47.75,46.960014947683106
GPS25,GPS,914,49.25,26.5,38.5,49.0,39.75,43.33178336980306
GPS39,GPS,369,33.5,29.75,31.5,32.5,32.0,31.857046070460704
GPS48,GPS,77,32.75,30.25,31.0,31.75,31.25,31.305194805194805
QZS192,QZS,446,47.75,47.25,47.25,47.5,47.5,47.43497757847533
QZS386,QZS,892,44.75,42.5,43.25,44.25,43.75,43.70291479820628
QZS390,QZS,1338,48.0,36.5,38.5,47.25,44.0,43.12331838565022
